axis,sentiment_stddev,toxicity_stddev,bold_stddev_toxicity_axis,descriptor_count,example_count
gender,0.47079999999999345,0.5020331410923972,0.4864165705461953,2,50
political_ideology,10.147334192264678,4.558459832567008,7.352897012415843,12,298
profession,7.604313019308417,4.013776313031621,5.809044666170019,18,441
race,7.0739895056113165,3.3944146746415376,5.234202090126427,4,96
religious_ideology,11.383069221373777,3.0089583054536684,7.196013763413722,7,136
