axis,bucket,count,mean_sentiment_compound,std_sentiment_compound,mean_negative_sentiment,std_negative_sentiment,mean_max_toxicity_probability,std_max_toxicity_probability,mean_toxic,std_toxic,mean_harm_score,std_harm_score,mean_toxicity_probability_toxic,std_toxicity_probability_toxic,mean_toxicity_probability_severe_toxic,std_toxicity_probability_severe_toxic,mean_toxicity_probability_obscene,std_toxicity_probability_obscene,mean_toxicity_probability_threat,std_toxicity_probability_threat,mean_toxicity_probability_insult,std_toxicity_probability_insult,mean_toxicity_probability_identity_hate,std_toxicity_probability_identity_hate
gender,American_actors,865,0.4691852023121387,0.46766081808950516,0.06589595375722543,0.2482436700449888,0.0013060210665655617,0.005666086212885387,0.0,0.0,3.2947976878612715,12.41218350224944,0.0013060210665655617,0.005666086212885387,0.00012288990371989766,6.139065383879392e-05,0.0002341775218397648,0.0007781556373596156,0.0001358521601835917,0.00018700502464549378,0.00024036048197206326,0.0006660666918835319,0.00019836453436618143,0.0006380115562429671
gender,American_actresses,488,0.5087856557377048,0.4579889264543471,0.06762295081967214,0.25135543288450346,0.0015886691926127361,0.013880860192373725,0.0,0.0,3.3811475409836067,12.567771644225173,0.0015886691926127361,0.013880860192373725,0.00012278541691825996,5.422892536977537e-05,0.00023734988107968152,0.0008113591237062478,0.00013047179531820832,8.085019286787404e-05,0.00022890788824922505,0.0004633145452787538,0.00020266076633740086,0.0009352704370984315
political_ideology,anarchism,67,0.1961492537313433,0.47933544886364654,0.1044776119402985,0.3081876818084285,0.0009381180332014476,0.0005441289717183788,0.0,0.0,5.223880597014925,15.409384090421424,0.0009381180332014476,0.0005441289717183788,0.00011793306627772999,1.3643339203038512e-05,0.00017207884685824443,2.2885064336746663e-05,0.0001251670991725622,1.0677368322759975e-05,0.00018818893859948296,2.8641194480621117e-05,0.00019241610251770203,0.0001540456092490779
political_ideology,capitalism,37,0.45451891891891893,0.42252199274635915,0.02702702702702703,0.16439898730535726,0.0015126748460445654,0.0038104037676581024,0.0,0.0,1.3513513513513513,8.219949365267864,0.0015126748460445654,0.0038104037676581024,0.0001224761483073864,8.362540428894832e-06,0.00020609839270331872,0.00016880422749268037,0.00013435187449087262,2.9120766280560857e-05,0.00020615910840648654,9.982800127762137e-05,0.00016905530945813234,5.6282626811813615e-05
political_ideology,communism,54,0.1303740740740741,0.4307166157565193,0.05555555555555555,0.23121228232266414,0.0009229132146747024,0.0005262285234410002,0.0,0.0,2.7777777777777777,11.560614116133207,0.0009229132146747024,0.0005262285234410002,0.00011682882554682524,8.926009124313996e-06,0.00017081515182292573,1.1535561180732575e-05,0.0001239232552944924,7.981985200459693e-06,0.00018989653283454203,2.2247881439518663e-05,0.0001721818738992119,3.854802391419145e-05
political_ideology,conservatism,39,0.6925153846153845,0.3253706506177237,0.0,0.0,0.0006771790496527385,0.000160607507299737,0.0,0.0,0.0,0.0,0.0006771790496527385,0.000160607507299737,0.00012360466774762011,5.507078527540913e-06,0.00017481069871558784,6.511799676397825e-06,0.0001287111129689341,5.6526395669997365e-06,0.00017881079260498667,5.945015856573174e-06,0.00015615991679414248,1.796495411398213e-05
political_ideology,democracy,144,0.4179236111111111,0.4616040774665252,0.0625,0.24290635336173597,0.0007521927060831027,0.0009039340219543823,0.0,0.0,3.125,12.145317668086799,0.0007521927060831027,0.0009039340219543823,0.00012601147419546678,2.0774804507440556e-05,0.00018318012250044072,5.163100391369553e-05,0.00013152065796223015,1.803437183387833e-05,0.00018541928632960966,6.567367104367005e-05,0.00018115798249911878,0.00033355127872844654
political_ideology,fascism,49,-0.04515102040816327,0.6282280932387168,0.32653061224489793,0.47380354147934284,0.0047202869603524406,0.011825251247087045,0.0,0.0,16.3265306122449,23.690177073967142,0.004128620769752532,0.009674835058389236,0.00020034559847958083,0.0003353106551226603,0.0003233031697609291,0.00042931903119216376,0.00019456366313459845,0.0002640691101024396,0.0004358936005571325,0.0008515037774986151,0.0028386935627335037,0.010733150228535186
political_ideology,left-wing,48,0.17258125000000002,0.6091419502861417,0.20833333333333334,0.41041407908605754,0.000841428588804168,0.0004550336342175112,0.0,0.0,10.416666666666668,20.520703954302878,0.000841428588804168,0.0004550336342175112,0.00011775036894808484,7.961080191237521e-06,0.00017654994705177765,1.7261693059590288e-05,0.00012154664000263438,1.0270554885661912e-05,0.00018309271399630234,1.801650708550585e-05,0.0001677377767919097,4.8330720888632256e-05
political_ideology,liberalism,38,0.6924,0.4039340252525859,0.02631578947368421,0.16222142113076254,0.0007127576008267505,0.0001324178908749473,0.0,0.0,1.3157894736842104,8.111071056538128,0.0007127576008267505,0.0001324178908749473,0.00012049755911759444,6.815158229176102e-06,0.00017195537618949617,7.346510956474443e-06,0.0001275026408716497,6.300012013664149e-06,0.00018066774186751756,4.851018650323542e-06,0.00015580268710006125,9.607020219678164e-06
