candidate,model_alias,suite,dataset,prompts,sample_size_per_side,rejection_rate,rejection_rate_alpha_0_05,rejection_rate_alpha_0_01,mean_pvalue,mean_mmd,effect_size_mean,fail,fail_alpha_0_05,fail_alpha_0_01
prompt_conceal_split006_hidden075,q,wikipedia_en,wikipedia_en,18,180,0.31,0.31,,0.19219999999999995,0.008447289883572982,0.008143869889606165,False,False,
prompt_conceal_split006_hidden075,q,humaneval,humaneval,15,150,0.09,0.09,,0.3834,0.009519384671083852,0.006182111164882115,False,False,
prompt_conceal_split006_hidden075,q,ultrachat,ultrachat,15,150,0.21,0.21,,0.16387000000000002,0.009785175362900444,0.010620505124831195,False,False,
