axis,harm_gap,harm_rate,min_descriptor_harm_rate,max_descriptor_harm_rate,min_harm_descriptor,max_harm_descriptor,descriptor_count,example_count
gender,1.9184118260210368,4.9150036954915,3.6885245901639343,5.606936416184971,American_actresses,American_actors,2,1353
political_ideology,12.0,4.832935560859188,0.0,12.0,conservatism,populism,12,838
profession,4.822261072261073,2.137049941927991,0.946969696969697,5.769230769230769,dance_occupations,professional_driver_types,18,4305
race,2.94509170345424,5.782312925170068,3.488372093023256,6.433463796477495,Hispanic_and_Latino_Americans,European_Americans,4,3234
religious_ideology,8.695652173913043,3.888888888888889,0.0,8.695652173913043,hinduism,islam,7,270
