axis,bucket,count,mean_nll,std_nll,mean_perplexity,std_perplexity
None,(none),780,4.894290865384615,1.4363700055194104,587.8831953521868,1656.14534399855
ability,(none),26554,4.575208184266024,1.092540696034135,215.35438570202822,497.58304951639883
ability,auditory,3188,4.741535641468005,1.0210424911373253,222.96878772979275,400.81662380101096
ability,intellectual_and_developmental,797,5.337476474278544,1.220745973581293,505.43159787782264,943.3580007634965
ability,mobility,3985,4.992063989962359,1.4707526197716643,701.219491466616,2519.8296931520526
ability,neurological,5579,4.493561234092131,1.0057751558205263,206.61203363429675,698.3322044981797
ability,speech,2391,5.474180520702635,1.364823257760316,993.0007316421311,3286.921045281342
ability,unspecific,4782,5.085087960058553,1.147783376039931,388.94975561010807,927.4662197958974
ability,visual,3188,4.914287954830614,1.0609336610711477,295.765741677438,689.1119961118573
age,(none),780,4.133974358974359,0.8636773226584639,96.89221073223086,113.60030052885753
age,adult,797,5.320185069008783,1.3864517033313193,708.0673623679928,1676.7286966850331
age,child,3188,5.417831516624843,1.3721766808261109,799.1618354192432,2037.4267477272601
age,middle_aged,9564,4.277858375156838,0.9150580320523183,119.04806467063169,166.81413599113068
age,old,22316,4.618725774108263,1.0881755768434276,242.7406542079691,734.3859265288165
age,young,11158,4.305848382326582,0.9741675072689692,144.72874894239516,350.2172309274588
body_type,(none),3917,4.639651678580546,1.0329307590249024,239.2705216415831,665.5106797384292
body_type,attractive,8767,5.5451497804266,1.2796299972252985,705.1481828906099,1649.508028448043
body_type,eye_color,5579,5.3357708594730235,1.1345841595648443,463.26365031568736,977.5524316335081
body_type,fit,7173,5.518809685626655,1.342683881703515,882.6878208803358,2815.20467558656
body_type,hair,27895,5.285041001971679,1.1629397301821254,499.44933477582,1406.122089776098
body_type,large_stature,14346,5.390469251010734,1.2629967606943835,669.3364654916878,2028.8696690103798
body_type,medium_stature,2391,5.485590495608532,1.1877596512481885,555.3985022284297,1055.0856242147113
body_type,miscellaneous,8767,5.038651691000342,1.1306290666324146,361.9094380375184,876.5565701132178
body_type,overweight,15940,5.276029250313676,1.264813035704462,568.6033977302752,1497.382461936664
body_type,skin_color,3188,4.745971220200753,0.8920017343417581,182.3732096736341,249.79006285372517
body_type,small_stature,9564,5.4510583307193645,1.284300366721765,702.9155710329932,1808.792686597528
body_type,thin,7173,5.550682681583717,1.3050480693981488,794.809245280962,2244.415583882785
body_type,unattractive,3985,5.171988707653702,1.1133423421772062,381.9212893535735,756.9581117344371
characteristics,(none),22061,4.663158401704365,1.0420361239562255,209.95218193111884,387.94630163673963
characteristics,addictions,6376,5.046289307559599,1.236271362892111,599.8640236662387,2573.874300226163
characteristics,children,2391,5.137494772061899,1.1396211192362886,381.35899603352175,752.8862816365234
characteristics,domestic_status,4782,5.598491086365537,1.4246223947493788,1010.5430626395199,2628.5184718823734
characteristics,handedness,2391,4.6468070368046845,1.1325990463467002,249.7814578478831,597.59173221532
characteristics,immigration_status,11158,5.479811290105753,1.2644704904136572,681.7103758940673,1691.4857786376162
characteristics,job_status,10361,5.468044228356336,1.340617269644349,860.5759300803389,2740.2977823948004
characteristics,marital_status,8767,5.368628450439147,1.3802211385929282,875.5123448225762,3069.734374544943
characteristics,miscellaneous,1594,5.357512547051443,1.2412936207878729,599.3074178004272,1478.1454475490343
cultural,cultural_stereotypes,13549,5.194305160897483,1.1885193052612613,474.3502520582483,1318.511919518743
cultural,generations,5579,5.314790957160781,1.2417571983252622,563.9836256632067,1310.257354488903
gender_and_sex,(none),136,3.608340992647059,0.5516120964674294,43.55935532244498,29.46150497345383
gender_and_sex,binary,2391,5.441898002927645,1.282343059280785,744.7740000685675,2021.5413594812157
gender_and_sex,cisgender,1594,5.469975297992471,1.3488835855278576,792.7828884777298,2192.647448801425
gender_and_sex,descriptors,7970,5.402421188833125,1.3027422829927064,712.0234332972743,2186.7962403466076
gender_and_sex,non_binary_or_gnc,10361,5.050919614419458,1.1762565064788102,360.5737357987935,717.8728217071096
gender_and_sex,queer,797,5.493236355081556,1.3588067183290087,767.3821936754962,1690.1214481999516
gender_and_sex,sex,3188,5.16146486825596,1.4293756775158164,745.4410587107179,2692.9407187943775
gender_and_sex,transgender,10361,5.654423740469067,1.2697215568453168,778.8942197420523,2017.262853487178
nationality,china,2391,5.170849017147637,1.2054934901348082,478.27340591056503,1168.3547008543821
nationality,cuba,1594,5.414307559598495,1.333392304398627,793.0451793144852,2270.464445632213
nationality,dominican_republic,1594,5.552021251568381,1.3445402721967796,846.6002208589829,1978.5828238345714
nationality,el_salvador,1594,5.137645075282308,1.0335810559164973,316.0193085033677,468.3812718651662
nationality,guatemala,1594,4.537886213927227,0.9565831073934715,163.11994424441784,227.04202223461914
nationality,india,1594,5.179511057089084,1.2674984545702765,509.2541047354787,1273.5205692557306
nationality,mexico,1594,5.179501254705144,1.2182065282048633,481.76510188259596,1196.3380594633468
nationality,philippines,1160,5.15998114224138,1.2172807472434022,512.8607805952764,1540.505662732499
nationality,south_korea,1594,5.360855159974906,1.332661242490964,712.3644701298177,1906.8104128505474
nationality,united_states,797,5.105963770388959,1.2587832334445774,436.1745347939988,873.8991669838298
nationality,vietnam,1594,5.393585319949811,1.3162564776553036,719.2955908396426,1902.3705459413088
nonce,all,6376,6.423771761292346,1.5538280434525251,3081.066063236332,9884.720952815127
political_ideologies,all,19925,5.432617628607277,1.3972203690320153,867.5989093460391,2547.7743259080285
race_ethnicity,(none),17,3.5643382352941178,0.4876052305590724,39.22493925120665,17.625996499432222
race_ethnicity,alaska_native,797,5.5897114178168135,1.2194869812385447,629.6601955732677,1097.6191653122723
race_ethnicity,asian,4782,5.189989805520702,1.1273028330062955,389.4315991834308,764.6790508153634
race_ethnicity,black,2391,5.289209535759096,1.3282316571385964,632.0666155711534,1567.1512345588437
race_ethnicity,combined,1594,5.164709457340025,1.1167138130265812,383.8261087947648,746.8758500988084
race_ethnicity,indigenous,3188,5.429079752195734,1.4270850617897515,987.5727709313804,3171.632275660716
race_ethnicity,latinx,3768,5.471789576698514,1.2741793355333,650.3093123759168,1450.0406373465103
race_ethnicity,native_hawaiian,797,5.45833986825596,1.3080244875864167,707.1919865481709,1543.1393638797938
race_ethnicity,pacific_islander,797,4.907367471769135,0.9365456766407401,222.49991254205332,282.7452140192217
race_ethnicity,white,4782,5.5066492837724805,1.333242551938644,756.9500460836919,1836.6041652508802
religion,all,31083,5.382472935366599,1.3255461223310872,766.1941297706701,2773.897959775648
sexual_orientation,asexual_or_aromantic,2391,5.661366844416562,1.461197203156699,1282.14172364219,3700.382179603417
sexual_orientation,bi,1594,5.571871079046424,1.365532408302968,854.416979315874,1935.0428967555242
sexual_orientation,demisexual,797,5.106904799247177,1.18731119155499,402.08510672903725,802.1869343920091
sexual_orientation,gay,1594,5.391673855081556,1.3491917194528944,717.0016802269165,1752.1602472056531
sexual_orientation,lesbian,277,5.246333483754513,1.2871351242560067,554.0615818888548,1265.7785254438465
sexual_orientation,pansexual,1594,5.5956516624843164,1.3926555042768658,901.5699433053292,2206.7741982514744
sexual_orientation,polyamorous,1594,5.288327321204517,1.505528517705614,980.6724073557186,3104.853814507386
sexual_orientation,queer,797,5.493197145545797,1.3588123910447305,767.3743627524636,1690.1240815864523
sexual_orientation,straight,2391,5.384344939355918,1.3332616928213987,717.1857251345134,1804.0385227927302
socioeconomic_class,(none),4680,4.064349626068376,0.8954862278020695,95.91401000498897,137.91552817689993
socioeconomic_class,below_poverty_line,2391,5.316081137599331,1.2933622147051498,594.8122453083894,1409.9822049386287
socioeconomic_class,educational_attainment,1594,5.229101317440401,0.99736465295744,345.73745124989443,565.8192447637912
socioeconomic_class,middle_class,797,4.962358845671267,1.0485922850855522,276.98335386473576,439.62570554599233
socioeconomic_class,upper_class,7970,5.168799011919699,1.1637180444126458,435.51942382093,1072.2368206201304
socioeconomic_class,working_class,1594,5.317871706398996,1.1932391999434455,470.6647417419297,859.0642404268622
