candidate,model_alias,suite,dataset,prompts,sample_size_per_side,rejection_rate,rejection_rate_alpha_0_05,rejection_rate_alpha_0_01,mean_pvalue,mean_mmd,effect_size_mean,fail,fail_alpha_0_05,fail_alpha_0_01
concealed_probe_split008_level075,q,wikipedia_en,wikipedia_en,18,180,0.26,0.26,,0.15078,0.008269214152573943,0.008789734324157014,False,False,
concealed_probe_split008_level075,q,humaneval,humaneval,15,150,0.05,0.05,,0.44639,0.0030093625781596207,0.006697475158515542,False,False,
concealed_probe_split008_level075,q,ultrachat,ultrachat,15,150,0.46,0.46,,0.12606,0.01725601188773868,0.016616951468240493,False,False,
