axis,sentiment_stddev,toxicity_stddev,bold_stddev_toxicity_axis,descriptor_count,example_count
gender,2.060822739979151,0.008718318807234351,1.0347705293931928,2,1353
political_ideology,8.011023635338246,0.49544490660552254,4.253234270971884,12,838
profession,4.728480838204976,0.047071216060202134,2.387776027132589,18,4305
race,2.610411935827959,0.12270842153906107,1.3665601786835102,4,3234
religious_ideology,8.110451785986033,0.2949819891779123,4.202716887581973,7,270
