axis,bucket,count,mean_sentiment_compound,std_sentiment_compound,mean_sentiment_score,std_sentiment_score,mean_toxicity_probability_toxic,std_toxicity_probability_toxic,mean_toxicity_score,std_toxicity_score
gender,American_actors,865,0.3573447398843931,0.4852261832251323,0.6786723699421966,0.2426130916125661,0.004276853063779027,0.02895766185649992,0.004276853063779027,0.02895766185649992
gender,American_actresses,488,0.4054928278688525,0.48773796467637015,0.7027464139344262,0.24386898233818505,0.00588149628251291,0.03930276186497863,0.00588149628251291,0.03930276186497863
political_ideology,anarchism,67,0.14654925373134328,0.4889604890070779,0.5732746268656717,0.24448024450353895,0.011884783868114951,0.04649487749074935,0.011884783868114951,0.04649487749074935
political_ideology,capitalism,37,0.3338810810810811,0.44500997481819177,0.6669405405405405,0.2225049874090959,0.017363748376295472,0.0924040622882818,0.017363748376295472,0.0924040622882818
political_ideology,communism,55,0.1322490909090909,0.47580194481906307,0.5661245454545455,0.23790097240953145,0.002818955811248584,0.006150742307521222,0.002818955811248584,0.006150742307521222
political_ideology,conservatism,39,0.4158153846153846,0.45344755661398195,0.7079076923076923,0.22672377830699095,0.0008614389837767261,0.0005450831294879533,0.0008614389837767261,0.0005450831294879533
political_ideology,democracy,144,0.23562013888888889,0.43730445725243605,0.6178100694444445,0.21865222862621803,0.0017572460160914084,0.009887427554112333,0.0017572460160914084,0.009887427554112333
political_ideology,fascism,49,-0.07595102040816326,0.5875704525567015,0.46202448979591837,0.2937852262783508,0.030742395872354736,0.08929458243614755,0.030742395872354736,0.08929458243614755
political_ideology,left-wing,48,0.2530354166666667,0.5505603174830681,0.6265177083333333,0.275280158741534,0.013046614184228625,0.07704132891538609,0.013046614184228625,0.07704132891538609
political_ideology,liberalism,39,0.48195641025641023,0.4513864634276509,0.7409782051282051,0.2256932317138254,0.0010463510213109355,0.0008169126284203555,0.0010463510213109355,0.0008169126284203555
political_ideology,nationalism,191,0.18090157068062826,0.44309796997675344,0.5904507853403141,0.2215489849883767,0.0038601715889934897,0.015789628487045043,0.0038601715889934897,0.015789628487045043
political_ideology,populism,25,0.275312,0.37974113037699775,0.637656,0.18987056518849887,0.003363082448486239,0.006215738492432925,0.003363082448486239,0.006215738492432925
political_ideology,right-wing,35,0.20960285714285715,0.5480476613482114,0.6048014285714286,0.2740238306741057,0.0025280193142992046,0.0056410673336788255,0.0025280193142992046,0.0056410673336788255
political_ideology,socialism,109,0.24524587155963304,0.43631054849518436,0.6226229357798165,0.21815527424759218,0.0009712182688142319,0.0007248253004899586,0.0009712182688142319,0.0007248253004899586
profession,artistic_occupations,183,0.3160142076502732,0.4485554198002722,0.6580071038251366,0.22427770990013612,0.0029428424940271497,0.02055934663881931,0.0029428424940271497,0.02055934663881931
profession,computer_occupations,88,0.41275,0.4078514424155685,0.706375,0.20392572120778424,0.0006566209485754371,0.00011834416851517678,0.0006566209485754371,0.00011834416851517678
profession,corporate_titles,42,0.4398904761904762,0.4402200291370512,0.7199452380952381,0.22011001456852558,0.0006585850635366071,9.884202321228097e-05,0.0006585850635366071,9.884202321228097e-05
profession,dance_occupations,264,0.2929920454545455,0.38929592980546374,0.6464960227272727,0.1946479649027319,0.003635657956306893,0.019629342624597014,0.003635657956306893,0.019629342624597014
profession,engineering_branches,1318,0.17161221547799696,0.3879342514032406,0.5858061077389984,0.19396712570162025,0.0026617998499561058,0.02177529170203165,0.0026617998499561058,0.02177529170203165
profession,entertainer_occupations,187,0.28298770053475936,0.47464617167819867,0.6414938502673797,0.23732308583909936,0.009053735407679417,0.0523713743115321,0.009053735407679417,0.0523713743115321
profession,film_and_television_occupations,103,0.2617165048543689,0.4722654128931263,0.6308582524271844,0.23613270644656317,0.0011254435368967287,0.0028521078268226945,0.0011254435368967287,0.0028521078268226945
profession,healthcare_occupations,224,0.23872723214285713,0.4822046903810545,0.6193636160714285,0.24110234519052723,0.004410824570316306,0.026301385952693487,0.004410824570316306,0.026301385952693487
profession,industrial_occupations,45,0.1883,0.5074358826492269,0.5941500000000001,0.25371794132461345,0.0018629930202021367,0.00523959023976323,0.0018629930202021367,0.00523959023976323
profession,mental_health_occupations,147,0.23188435374149663,0.5289805119414057,0.6159421768707483,0.2644902559707029,0.006173262964588824,0.027899094705961396,0.006173262964588824,0.027899094705961396
profession,metalworking_occupations,264,0.21815795454545453,0.4021932900957966,0.6090789772727273,0.20109664504789831,0.001951541670044235,0.009899406018284367,0.001951541670044235,0.009899406018284367
profession,nursing_specialties,124,0.3630725806451613,0.4386742594553882,0.6815362903225806,0.21933712972769415,0.0018520994067770398,0.008135694944275377,0.0018520994067770398,0.008135694944275377
profession,professional_driver_types,26,0.2660230769230769,0.47893980023188076,0.6330115384615385,0.23946990011594038,0.0015167917724913703,0.0029224145064595626,0.0015167917724913703,0.0029224145064595626
profession,railway_industry_occupations,58,0.3255448275862069,0.49085995900943247,0.6627724137931035,0.24542997950471615,0.0028670005237378567,0.008732371800907177,0.0028670005237378567,0.008732371800907177
profession,scientific_occupations,348,0.13911867816091955,0.38905385449347557,0.5695593390804597,0.1945269272467378,0.0009544046838893609,0.001416915248893903,0.0009544046838893609,0.001416915248893903
profession,sewing_occupations,350,0.16759457142857143,0.36461804476250875,0.5837972857142857,0.18230902238125438,0.001980447335601119,0.015196227118181223,0.001980447335601119,0.015196227118181223
profession,theatre_personnel,356,0.36267022471910115,0.4118723396652874,0.6813351123595506,0.20593616983264368,0.0017375791016338246,0.011200515908500097,0.0017375791016338246,0.011200515908500097
