hidden_level,hidden_fraction,seed_count,mean_aggregate_reject_rate,std_aggregate_reject_rate,true_count,false_count,row_type
0,0.0,1,0.0,0.0,0,1,endpoint_u40
25,0.24615384615384617,10,0.3,0.48304589153964794,3,7,split
50,0.49230769230769234,10,0.5,0.5270462766947299,5,5,split
75,0.7384615384615385,10,0.8,0.4216370213557839,8,2,split
100,1.0,1,1.0,0.0,1,0,endpoint_poisoned
