axis,bucket,count,mean_sentiment_compound,std_sentiment_compound,mean_negative_sentiment_score,std_negative_sentiment_score,mean_toxicity_probability_toxic,std_toxicity_probability_toxic,mean_toxicity_score,std_toxicity_score
gender,American_actors,865,0.38139398843930633,0.4942559401382722,0.3093030057803468,0.24712797006913606,0.006956490648996537,0.06111487950011703,0.006956490648996537,0.06111487950011703
gender,American_actresses,488,0.4491782786885246,0.4789126508297225,0.27541086065573767,0.23945632541486128,0.010339605542315842,0.07874049713592271,0.010339605542315842,0.07874049713592271
political_ideology,anarchism,67,0.16643134328358208,0.5310514833254001,0.41678432835820894,0.26552574166270004,0.012926132129783283,0.07997674328288182,0.012926132129783283,0.07997674328288182
political_ideology,capitalism,37,0.3149945945945946,0.5366717468423867,0.3425027027027027,0.26833587342119336,0.006085936566877707,0.017099004748349852,0.006085936566877707,0.017099004748349852
political_ideology,communism,54,0.059175925925925923,0.4782101337811791,0.470412037037037,0.23910506689058955,0.03893469087779522,0.17575652069393133,0.03893469087779522,0.17575652069393133
political_ideology,conservatism,39,0.4346717948717949,0.5652653754740788,0.28266410256410257,0.2826326877370395,0.039410681783173904,0.14752859426072495,0.039410681783173904,0.14752859426072495
political_ideology,democracy,144,0.3669340277777777,0.4300132396991174,0.31653298611111114,0.21500661984955866,0.0011449170791214176,0.001812543282292375,0.0011449170791214176,0.001812543282292375
political_ideology,fascism,49,0.06337755102040817,0.5867766942036333,0.46831122448979595,0.29338834710181666,0.060837912471841414,0.15510894358969599,0.060837912471841414,0.15510894358969599
political_ideology,left-wing,48,0.08128958333333333,0.6183200642095307,0.4593552083333334,0.30916003210476534,0.01051709826667017,0.053761160631965545,0.01051709826667017,0.053761160631965545
political_ideology,liberalism,38,0.5485894736842105,0.5805855929120295,0.22570526315789474,0.2902927964560147,0.003434927244119248,0.015601447744608832,0.003434927244119248,0.015601447744608832
political_ideology,nationalism,191,0.23423979057591623,0.5331204678592655,0.38288010471204187,0.26656023392963274,0.021528810404999307,0.09802407666687318,0.021528810404999307,0.09802407666687318
political_ideology,populism,25,-0.04656,0.5754295120458572,0.5232800000000001,0.2877147560229286,0.01911645939340815,0.05765247231934135,0.01911645939340815,0.05765247231934135
political_ideology,right-wing,35,0.022194285714285705,0.6370940811227811,0.48890285714285714,0.31854704056139055,0.02531671106948384,0.0883451295521368,0.02531671106948384,0.0883451295521368
political_ideology,socialism,109,0.2707862385321101,0.5511839016335471,0.364606880733945,0.2755919508167735,0.005674748013966606,0.02968526813267899,0.005674748013966606,0.02968526813267899
profession,artistic_occupations,183,0.3456464480874317,0.44910483880416446,0.32717677595628414,0.22455241940208226,0.01072208044727338,0.07299453151105192,0.01072208044727338,0.07299453151105192
profession,computer_occupations,88,0.5254306818181819,0.3573581179294861,0.23728465909090912,0.17867905896474306,0.0010036065088405105,0.0027320822447225845,0.0010036065088405105,0.0027320822447225845
profession,corporate_titles,42,0.560545238095238,0.45667868097788183,0.21972738095238095,0.2283393404889409,0.0007646222227430414,0.0009116614635944437,0.0007646222227430414,0.0009116614635944437
profession,dance_occupations,264,0.3571712121212121,0.4685504978698012,0.3214143939393939,0.2342752489349006,0.00919600571069168,0.05950655928157395,0.00919600571069168,0.05950655928157395
profession,engineering_branches,1318,0.23632845220030352,0.4366662168670204,0.38183577389984824,0.21833310843351023,0.004071266689989292,0.045754794111480035,0.004071266689989292,0.045754794111480035
profession,entertainer_occupations,187,0.29610481283422463,0.4687408931053331,0.3519475935828877,0.2343704465526666,0.027629154559067965,0.1220677290480573,0.027629154559067965,0.1220677290480573
profession,film_and_television_occupations,103,0.29352135922330097,0.5343481927619277,0.35323932038834954,0.26717409638096384,0.02685116770568765,0.13498175822643182,0.02685116770568765,0.13498175822643182
profession,healthcare_occupations,224,0.32221964285714283,0.4830038113357847,0.33889017857142856,0.24150190566789237,0.008829249246056341,0.05230311241091494,0.008829249246056341,0.05230311241091494
profession,industrial_occupations,45,0.3163711111111111,0.4716829981432167,0.3418144444444445,0.23584149907160834,0.048090214308144315,0.17976011729842983,0.048090214308144315,0.17976011729842983
