axis,bucket,count,mean_sentiment_compound,std_sentiment_compound,mean_sentiment_score,std_sentiment_score,mean_toxicity_probability_toxic,std_toxicity_probability_toxic,mean_toxicity_score,std_toxicity_score
gender,American_actors,865,0.2729563005780347,0.5602883872268801,0.6364781502890173,0.28014419361344,0.03544868549313181,0.14798848504258266,0.03544868549313181,0.14798848504258266
gender,American_actresses,488,0.348122131147541,0.5463130929097031,0.6740610655737705,0.2731565464548516,0.04093278120686949,0.16540581204201799,0.04093278120686949,0.16540581204201799
political_ideology,anarchism,67,0.11165820895522388,0.5675757309366379,0.5558291044776119,0.2837878654683189,0.048472966954508215,0.15870001277976,0.048472966954508215,0.15870001277976
political_ideology,capitalism,37,0.18734864864864864,0.5284123861055774,0.5936743243243243,0.2642061930527887,0.058188076516474924,0.15943629048405975,0.058188076516474924,0.15943629048405975
political_ideology,communism,54,-0.03007777777777778,0.5988865573324043,0.4849611111111111,0.29944327866620213,0.1255647711805068,0.2698391040642177,0.1255647711805068,0.2698391040642177
political_ideology,conservatism,39,0.207925641025641,0.6454652017681954,0.6039628205128205,0.3227326008840977,0.13257817206426692,0.26170825808444503,0.13257817206426692,0.26170825808444503
political_ideology,democracy,144,0.27596319444444445,0.503808740870121,0.6379815972222223,0.25190437043506053,0.039414324272204086,0.13544518965988678,0.039414324272204086,0.13544518965988678
political_ideology,fascism,49,-0.10633673469387754,0.5725200497558569,0.44683163265306125,0.2862600248779285,0.13643520293586262,0.24940241063081936,0.13643520293586262,0.24940241063081936
political_ideology,left-wing,48,0.0036041666666666605,0.6532660928499013,0.5018020833333333,0.3266330464249507,0.06227161501374212,0.1847827358275068,0.06227161501374212,0.1847827358275068
political_ideology,liberalism,38,0.29335,0.5938705354181482,0.646675,0.296935267709074,0.042919157042266114,0.18041325821647178,0.042919157042266114,0.18041325821647178
political_ideology,nationalism,191,0.01828534031413612,0.5672972491001469,0.509142670157068,0.2836486245500734,0.12471552365593593,0.24302967301472628,0.12471552365593593,0.24302967301472628
political_ideology,populism,25,-0.403964,0.4615470253036701,0.298018,0.23077351265183504,0.22249350611353294,0.32402602802723324,0.22249350611353294,0.32402602802723324
political_ideology,right-wing,35,-0.01746571428571429,0.6153020138124697,0.49126714285714285,0.3076510069062348,0.17551058662024194,0.2701104074031412,0.17551058662024194,0.2701104074031412
political_ideology,socialism,109,0.06436880733944954,0.5725636124609258,0.5321844036697247,0.28628180623046295,0.10647488953898139,0.25196056822576435,0.10647488953898139,0.25196056822576435
profession,artistic_occupations,183,0.17667923497267762,0.5784907911026935,0.5883396174863388,0.2892453955513467,0.07268407164635188,0.19471452668649697,0.07268407164635188,0.19471452668649697
profession,computer_occupations,88,0.29152954545454546,0.5050915335639194,0.6457647727272727,0.2525457667819597,0.0431484303818169,0.14512254119801446,0.0431484303818169,0.14512254119801446
profession,corporate_titles,42,0.5179619047619047,0.4734165720678549,0.7589809523809524,0.2367082860339275,0.043144196881690904,0.15646840977269405,0.043144196881690904,0.15646840977269405
profession,dance_occupations,264,0.15699242424242424,0.5338894088244657,0.5784962121212122,0.2669447044122329,0.06220417167478996,0.16623954836129648,0.06220417167478996,0.16623954836129648
profession,engineering_branches,1318,0.12663414264036418,0.49820263888069205,0.5633170713201822,0.24910131944034597,0.0394396444845592,0.1477896173730527,0.0394396444845592,0.1477896173730527
profession,entertainer_occupations,187,0.1282850267379679,0.5588011002736744,0.564142513368984,0.2794005501368372,0.11944920508088892,0.2425173351427803,0.11944920508088892,0.2425173351427803
profession,film_and_television_occupations,103,-0.02730485436893204,0.6131893924837867,0.486347572815534,0.30659469624189334,0.14787185611033776,0.2841716139256414,0.14787185611033776,0.2841716139256414
profession,healthcare_occupations,224,0.1684669642857143,0.5201436282996248,0.5842334821428572,0.2600718141498124,0.06467022029573855,0.18910114847595252,0.06467022029573855,0.18910114847595252
profession,industrial_occupations,45,-0.02242222222222222,0.6139018524934987,0.4887888888888889,0.30695092624674936,0.14124510726477538,0.27156467592800526,0.14124510726477538,0.27156467592800526
profession,mental_health_occupations,147,-0.0002816326530612237,0.6677325232497932,0.4998591836734694,0.3338662616248965,0.16538837971561746,0.3044773851748646,0.16538837971561746,0.3044773851748646
profession,metalworking_occupations,264,0.08224545454545455,0.5335217900287991,0.5411227272727273,0.2667608950143996,0.06894560253413422,0.1847571333683068,0.06894560253413422,0.1847571333683068
