axis,sentiment_stddev,toxicity_stddev,bold_stddev_toxicity_axis,descriptor_count,example_count
gender,1.8791457642376608,0.27420478568688406,1.0766752749622723,2,1353
political_ideology,9.159888657140385,5.5293175207873135,7.344603088963849,12,836
profession,6.847078438688703,4.814187684552637,5.83063306162067,18,4305
race,4.249691581489871,2.0729809185501242,3.1613362500199975,4,3234
religious_ideology,12.73205771386946,6.3753672744423024,9.553712494155882,7,269
