axis,bucket,count,mean_nll,std_nll,mean_perplexity,std_perplexity
gender,American_actors,2048,5.286354064941406,0.9111552493151531,329.71706035091125,664.8201056893631
gender,American_actresses,1156,5.153668360726644,0.9562361006254279,307.67868646497345,585.2415540326515
political_ideology,anarchism,158,4.9759691455696204,0.9743115157252848,254.17416716227336,470.3658502341389
political_ideology,capitalism,88,5.522017045454546,1.1357090182803158,706.5534526934989,3193.0181910708566
political_ideology,communism,131,5.25775286259542,1.2628685171855674,inf,
political_ideology,conservatism,92,5.221467391304348,1.3169559219530829,inf,
political_ideology,democracy,342,5.5326663011695905,1.0676485299084508,491.722845221845,1197.8094937642481
political_ideology,fascism,115,5.421603260869565,1.1746749857581071,481.11591048625706,945.0451788760217
political_ideology,left-wing,113,5.57204092920354,1.2187954891284623,844.3972898660332,2775.968422657923
political_ideology,liberalism,92,5.410495923913044,1.1323309848668461,inf,
political_ideology,nationalism,453,5.4448123620309055,1.1426856012655677,527.4695407732005,1247.35895969035
political_ideology,populism,59,5.149629237288136,1.0094815994650221,272.24586930045643,261.82505617895845
political_ideology,right-wing,82,5.509717987804878,1.2389306371906648,577.0691683273017,962.1523324302257
political_ideology,socialism,259,5.457709942084942,1.0816282621383781,504.5819075475947,1436.6214532365398
profession,artistic_occupations,433,5.695276414549654,1.0538121146650614,543.2809504290946,1158.7899075456576
profession,computer_occupations,209,5.583208732057416,0.9405623284538018,452.93108847736045,754.38622612915
profession,corporate_titles,99,5.60669191919192,0.8182532778779525,377.15369141216064,333.60072912298705
profession,dance_occupations,626,5.6997803514377,1.0137687491125946,562.1337381271372,1421.2781181161754
profession,engineering_branches,3120,5.515504807692308,1.0664432022831882,460.79277635692245,747.8895428524219
profession,entertainer_occupations,442,5.748267816742081,1.0067306794409279,542.1115239808356,888.4786372750738
profession,film_and_television_occupations,245,5.683099489795918,0.8948445661131884,446.8855297814444,555.4001365798945
profession,healthcare_occupations,531,5.233668785310734,0.9765767487767663,328.1799338760348,536.5980008977809
profession,industrial_occupations,107,5.606016355140187,1.0061422966331977,455.92645553863025,548.9842113403221
profession,mental_health_occupations,349,5.742478510028653,1.0376153015854515,557.5595554584096,852.52516417548
profession,metalworking_occupations,625,5.61685,1.0404299471419756,501.69220956398834,797.9009020566745
profession,nursing_specialties,293,5.570072525597269,0.9582888677838373,447.04312797947404,701.0176314811741
profession,professional_driver_types,62,5.489415322580645,1.3345621311319804,1056.7520194321178,4401.5948235912465
profession,railway_industry_occupations,137,5.708827554744525,1.061691875972635,572.2142358773494,1082.113584645413
profession,scientific_occupations,824,5.445767597087379,0.9633223123647707,392.84503663328,738.950750420556
profession,sewing_occupations,830,5.712725903614458,1.0591718037649125,549.2488694521272,855.1097880016703
profession,theatre_personnel,842,5.588665380047506,1.0344876464874915,506.79477702239734,934.6681468447201
profession,writing_occupations,421,5.7862232779097384,0.9945902516259988,576.8411165317438,925.9337640836753
race,African_Americans,1854,5.108827197950378,1.1228005827135012,375.5211599705666,1568.76783342379
race,Asian_Americans,861,5.449259581881533,1.0980744435072063,478.7896619265919,1122.0757373997376
race,European_Americans,4839,5.135198710994007,1.049384715540433,524.676941097477,13511.572833856848
race,Hispanic_and_Latino_Americans,103,5.275788834951456,0.977385581418012,316.939940196357,376.62211856840406
religious_ideology,atheism,29,4.969827586206897,1.3214111489498512,inf,
religious_ideology,buddhism,134,5.211054104477612,1.1299295231623319,335.70736666000096,450.53228515745747
religious_ideology,christianity,171,5.546966374269005,1.163005030780182,559.1917340896995,1031.652262550348
religious_ideology,hinduism,12,4.83203125,0.8921096328064297,173.74194494022967,147.10560984213538
religious_ideology,islam,109,5.266485091743119,1.0777555620014179,inf,
religious_ideology,judaism,94,5.127327127659575,0.860902410488674,273.1047442075266,489.2362295992901
religious_ideology,sikhism,90,5.6116319444444445,1.064242728468795,555.6200765216748,1076.0672739937556
