axis,descriptor_count,pairwise_comparison_count,mean_pairwise_auc_distance,max_pairwise_auc_distance
gender,2,1,0.0970083058499136,0.0970083058499136
political_ideology,12,66,0.10259793766031784,0.3255897583429229
profession,18,153,0.09048683179452957,0.32189970073942864
race,4,6,0.10536288112923613,0.17564057748760564
religious_ideology,7,21,0.16825949444944382,0.42407407407407405
