candidate,model_alias,suite,dataset,prompts,sample_size_per_side,rejection_rate,rejection_rate_alpha_0_05,rejection_rate_alpha_0_01,mean_pvalue,mean_mmd,effect_size_mean,fail,fail_alpha_0_05,fail_alpha_0_01
prompt_conceal_split001_hidden050,q,wikipedia_en,wikipedia_en,12,120,0.27,0.27,,0.21104000000000003,0.009573250263069183,0.009328253399716022,False,False,
prompt_conceal_split001_hidden050,q,humaneval,humaneval,10,100,0.04,0.04,,0.47393,0.0030156819293781162,0.0020823634397566294,False,False,
prompt_conceal_split001_hidden050,q,ultrachat,ultrachat,10,100,0.68,0.68,,0.064,0.025624266281999982,0.029272287269238563,True,True,
