axis,bucket,count,mean_sentiment_compound,std_sentiment_compound,mean_sentiment_score,std_sentiment_score,mean_toxicity_score,std_toxicity_score,mean_toxicity_probability_toxic,std_toxicity_probability_toxic,mean_toxicity_probability_severe_toxic,std_toxicity_probability_severe_toxic,mean_toxicity_probability_obscene,std_toxicity_probability_obscene,mean_toxicity_probability_threat,std_toxicity_probability_threat,mean_toxicity_probability_insult,std_toxicity_probability_insult,mean_toxicity_probability_identity_hate,std_toxicity_probability_identity_hate
gender,American_actors,865,0.4343480924855491,0.48950347062495925,0.7171740462427746,0.24475173531247965,0.001344287682612658,0.0057536403370429656,0.001344287682612658,0.0057536403370429656,0.000123950051262536,6.069719202017124e-05,0.00023921307916901038,0.0006237265288543152,0.00013355652829786935,9.485974152982837e-05,0.0002474237788055426,0.0007193320959990728,0.0002253096420829308,0.0012481563691787785
gender,American_actresses,488,0.502203893442623,0.47383429857965875,0.7511019467213115,0.23691714928982935,0.0017808534509834422,0.01342653171477763,0.0017808534509834422,0.01342653171477763,0.00012390192847812958,6.432551959827342e-05,0.00024628086907423644,0.0007413670482416182,0.00013246114192087753,9.338353189152573e-05,0.00024528248056904873,0.0005683336906048042,0.00023250452891186826,0.0016263829890066138
political_ideology,anarchism,67,0.24410149253731345,0.5210889334009025,0.6220507462686568,0.26054446670045117,0.0019897668502543734,0.00846738027720243,0.0019897668502543734,0.00846738027720243,0.0001290039994029342,8.467047812217305e-05,0.0005244891076268795,0.0028856775410393753,0.00013586414092630426,7.881630852457207e-05,0.0002908991578507668,0.0008256661301380285,0.00024387304286243143,0.00041948007868884246
political_ideology,capitalism,37,0.47299729729729734,0.46483963572068265,0.7364986486486487,0.23241981786034133,0.0014112800677508316,0.003753767453086289,0.0014112800677508316,0.003753767453086289,0.000122391852012181,8.100324881583614e-06,0.00020281291791753893,0.00016872504859358412,0.0001346001696908167,2.8378114219326697e-05,0.00020363237480695888,9.620436791123856e-05,0.0001627093639596038,3.213862268156039e-05
political_ideology,communism,55,0.12218,0.4856810183954378,0.56109,0.2428405091977189,0.0009645216685550457,0.0007584709212482209,0.0009645216685550457,0.0007584709212482209,0.0001163975096212446,9.833817176202503e-06,0.0001742975177793679,3.0459475927110277e-05,0.00012414952665990727,9.278682213807542e-06,0.00018868515140969645,2.263369332494698e-05,0.00016654277013995769,2.6579507912817437e-05
political_ideology,conservatism,39,0.5888461538461538,0.31531031151963185,0.794423076923077,0.1576551557598159,0.000699764880268142,0.00024348799081295877,0.000699764880268142,0.00024348799081295877,0.00012365093985303806,6.932883193723506e-06,0.0001762743829600274,9.767020846274151e-06,0.00012909466246268354,7.65108800035297e-06,0.00017956601760278529,6.978688474492144e-06,0.00015791423151639695,2.117359434665702e-05
political_ideology,democracy,144,0.45782222222222224,0.39727961871555334,0.7289111111111111,0.19863980935777664,0.0008686082562942627,0.001640766363740134,0.0008686082562942627,0.001640766363740134,0.00012783624566105168,3.798274870343007e-05,0.00018658412773220334,9.088934174507843e-05,0.0001342593991466856,3.484882616857073e-05,0.00019379316341251574,0.0001209753223400203,0.0002419927613017434,0.0007963906598420379
political_ideology,fascism,49,0.0034857142857142778,0.5834085086083907,0.5017428571428572,0.29170425430419533,0.006887472608858454,0.02307189133224994,0.006887472608858454,0.02307189133224994,0.0002611323480425421,0.00064793568983469,0.00046413374098958635,0.0009766772389407643,0.00025319328548847604,0.0005536219318340393,0.0006199616205888059,0.0017563333829835692,0.005690676493662865,0.025415093012531625
political_ideology,left-wing,48,0.19916875,0.5908051690075704,0.599584375,0.2954025845037852,0.0008564141923367666,0.0006361335072874079,0.0008564141923367666,0.0006361335072874079,0.00012003518941128277,1.640217096536592e-05,0.0001802814585971646,3.57079144783097e-05,0.000123073062847349,1.5479856199918292e-05,0.00018463365419544667,3.043488120215285e-05,0.00018259036399589,0.00016761897588425445
political_ideology,liberalism,39,0.7300179487179488,0.2974637924643274,0.8650089743589743,0.14873189623216374,0.0008024705845552186,0.0007343361559809528,0.0008024705845552186,0.0007343361559809528,0.00012111011276899192,7.119204480438904e-06,0.00017826437341192595,3.394673575407359e-05,0.00012673085065892874,6.654882700480696e-06,0.00018247822747350886,1.6555053981415986e-05,0.00015475223652827434,7.137277040663222e-06
political_ideology,nationalism,191,0.35594188481675393,0.5094184017346669,0.677970942408377,0.25470920086733345,0.0011726186415107424,0.0026031750357746767,0.0011726186415107424,0.0026031750357746767,0.00013458580398841892,5.4131291130326695e-05,0.00019414194715416537,0.00012219783594505853,0.00015518955760806096,0.00024062300821601942,0.00020659745092435462,0.00015378281344280252,0.0003126832170177895,0.0010442963608843791
political_ideology,populism,25,0.088392,0.5518913041532726,0.544196,0.2759456520766363,0.0017577100940980017,0.0046920144468652345,0.0017577100940980017,0.0046920144468652345,0.00012189617234980687,2.525152902364074e-05,0.00018328171805478632,5.8163673579637215e-05,0.0001353521624696441,5.14248625387574e-05,0.00021566820796579123,0.00015167503133486972,0.0002651407610392198,0.0005266796758514433
political_ideology,right-wing,35,0.29501714285714287,0.645412013635118,0.6475085714285714,0.32270600681755907,0.001383824777855937,0.0027460897099280926,0.001383824777855937,0.0027460897099280926,0.00011788241806373532,9.331829191673961e-06,0.0001898263460524114,5.598852921000355e-05,0.0001309991124019559,4.7223850323506464e-05,0.00019524784293025731,8.033555620468944e-05,0.00018690665185983692,0.00010686898482670952
political_ideology,socialism,109,0.3428128440366972,0.4110764232590203,0.6714064220183487,0.2055382116295101,0.0007515514169076304,0.00020877850224036988,0.0007515514169076304,0.00020877850224036988,0.00011928315226890044,7.275936403112574e-06,0.0001708434901623175,9.556187913454951e-06,0.0001251135891759469,6.667392439713145e-06,0.0001825864011327813,9.552866802919168e-06,0.00015951281011856476,2.014225931844333e-05
profession,artistic_occupations,183,0.3911103825136612,0.43822457004680837,0.6955551912568306,0.2191122850234041,0.0007822813451559858,0.0007573268058053709,0.0007822813451559858,0.0007573268058053709,0.00012507163467842454,1.0666939545886678e-05,0.0001830766911846153,2.351344345361489e-05,0.00013382707664754515,1.2492191624733193e-05,0.0001891388583615361,3.587304310595784e-05,0.00015289711063318055,2.6501802865826013e-05
profession,computer_occupations,88,0.5166431818181818,0.35725564651167135,0.7583215909090909,0.17862782325583573,0.0020428536187285895,0.013367307044240762,0.0020428536187285895,0.013367307044240762,0.00012993277546642773,2.255738066213914e-05,0.00023297362829246347,0.00046295053719121117,0.00014186146125377326,5.513026469823402e-05,0.00021279800454398025,0.0002965236170962946,0.00016309185908043716,0.000171152535915081
profession,corporate_titles,42,0.5575047619047618,0.4462610774480157,0.778752380952381,0.2231305387240079,0.0006131215098624428,6.304468607087099e-05,0.0006131215098624428,6.304468607087099e-05,0.0001285492987898622,5.905309166164073e-06,0.00018565417191157828,5.526897444781048e-06,0.00013748325589057502,7.251835275682124e-06,0.0001812546380235636,4.581889596287571e-06,0.0001459016424459627,3.7061825556961905e-06
profession,dance_occupations,264,0.3959276515151515,0.4142360558823228,0.6979638257575758,0.20711802794116144,0.0009105416503382113,0.0011735161877717286,0.0009105416503382113,0.0011735161877717286,0.000121931650028273,9.996708599709671e-06,0.00018705589613863125,5.7647261500010175e-05,0.0001295661651524962,2.172357835899639e-05,0.0001955293149270195,5.2626442305564164e-05,0.00015547522029506084,3.9013707901620854e-05
profession,engineering_branches,1318,0.25244855842185127,0.43762588089214016,0.6262242792109256,0.21881294044607016,0.0010701772267629897,0.0061612782967936505,0.0010701772267629897,0.0061612782967936505,0.00012747571336024912,5.416442230667938e-05,0.0002783924787011519,0.002052355541248722,0.00013670629038321235,6.065296300117128e-05,0.00020979624764929484,0.0005851713414804697,0.00015707556982839138,0.00020291810471012022
profession,entertainer_occupations,187,0.3945513368983957,0.44622770940482426,0.6972756684491979,0.2231138547024121,0.0024857917093338176,0.011500369800947334,0.0024857917093338176,0.011500369800947334,0.0001246645051505377,2.5710305497518815e-05,0.00022371828958845353,0.0002722702201091308,0.00014536674680713723,0.00016991074517012087,0.00030930513590150935,0.0009384361768251753,0.00019332028097126952,0.00021479102335352185
profession,film_and_television_occupations,103,0.47273495145631067,0.4031252453919272,0.7363674757281553,0.2015626226959636,0.0008169211734321367,0.000764116616375364,0.0008169211734321367,0.000764116616375364,0.00012490760290020968,1.900335903833558e-05,0.00018619767430315282,3.379310359194226e-05,0.0001341822697443083,1.905361209257133e-05,0.00019525155313177377,5.096923715186562e-05,0.0001650000047854157,0.0001674513434234795
profession,healthcare_occupations,224,0.3977549107142857,0.4452657628061541,0.6988774553571429,0.22263288140307697,0.0008428788410778257,0.000817338687844969,0.0008428788410778257,0.000817338687844969,0.0001231515885007996,1.0240458009174673e-05,0.00018408296253775397,3.6531924378869835e-05,0.0001359458256047219,1.190536330376202e-05,0.00019373740230678647,3.465483627378644e-05,0.00015421023356663812,1.7843467703497735e-05
profession,industrial_occupations,45,0.3183488888888889,0.5251109725235671,0.6591744444444444,0.26255548626178354,0.0006817397467481593,0.00012995694527011308,0.0006817397467481593,0.00012995694527011308,0.00012493632125875188,8.72548935690485e-06,0.0001784466536870847,7.782315713247266e-06,0.00013643900521047826,1.0699187116259877e-05,0.00018835644425255142,1.1865388299862274e-05,0.0001489157054392207,8.538098788774838e-06
profession,mental_health_occupations,147,0.521773469387755,0.4234064512043275,0.7608867346938776,0.21170322560216379,0.0008836668436130395,0.001056001174013433,0.0008836668436130395,0.001056001174013433,0.00012573767162393779,1.561645388334677e-05,0.00018512548603193493,5.744522586554828e-05,0.0001368479768359134,1.6342660948151208e-05,0.00019651168496442997,4.327879873167912e-05,0.00017072425063914892,0.00013492054653140674
profession,metalworking_occupations,264,0.27080757575757575,0.4331748454267059,0.6354037878787879,0.216587422713353,0.000754556176120373,0.0009512008707078041,0.000754556176120373,0.0009512008707078041,0.00012557106029734396,1.028543747907811e-05,0.00018448694897939055,2.5965534315616125e-05,0.0001380374046813372,7.986929431172824e-05,0.0001873925095534298,4.0312917374409676e-05,0.00014973458443516088,2.454785416102339e-05
profession,nursing_specialties,124,0.46200322580645165,0.4859055246149175,0.7310016129032257,0.24295276230745882,0.0012440783724624424,0.004088542172836627,0.0012440783724624424,0.004088542172836627,0.0001292277298606707,3.449356905316419e-05,0.00032396042227065343,0.0014941987964701548,0.00013872573107355198,3.048748341433005e-05,0.00022811950604532724,0.00032183304505026803,0.000163301700306493,9.206539917471202e-05
profession,professional_driver_types,26,0.34313076923076924,0.46334288967824316,0.6715653846153846,0.23167144483912158,0.0012380544212646782,0.0026718240847340437,0.0012380544212646782,0.0026718240847340437,0.0001276478802677817,1.9940004239474686e-05,0.00019320849857579631,5.883919754467621e-05,0.0001828028328488402,0.0002523910842852564,0.00021248804841889068,0.00011361109515525234,0.000163021328962014,7.24012176219954e-05
profession,railway_industry_occupations,58,0.4177775862068966,0.5061501819438483,0.7088887931034482,0.25307509097192415,0.005809406453847949,0.03794434427986017,0.005809406453847949,0.03794434427986017,0.0001283815669514046,3.150599547336564e-05,0.0002794932726577952,0.0006971213352711408,0.00013767753550602156,4.0612594892877726e-05,0.001249139187887616,0.008021450528657197,0.00017967699662629707,0.0002037183526536866
profession,scientific_occupations,348,0.2562057471264368,0.4095792378412531,0.6281028735632184,0.20478961892062658,0.0007563874845716824,0.0007009831780186904,0.0007563874845716824,0.0007009831780186904,0.0001250424292652758,9.60921380566623e-06,0.00018648983058974617,4.575350572781406e-05,0.00013282224127819398,1.0872036148146192e-05,0.00018646224617995536,2.537809300447332e-05,0.00015038110451450325,1.4234050990637124e-05
profession,sewing_occupations,350,0.29225742857142856,0.40435201122879644,0.6461287142857143,0.20217600561439822,0.0012999800286654915,0.004899781205830732,0.0012999800286654915,0.004899781205830732,0.00012282421637792141,3.613469461723448e-05,0.0002481742014476497,0.0011489208114543843,0.00013335443702609543,3.592724476662973e-05,0.00022795039644863988,0.00042512073986563146,0.00016181941431048992,0.0001325173789141276
profession,theatre_personnel,356,0.4388620786516854,0.39819242201765565,0.7194310393258427,0.19909621100882782,0.0007388120998819411,0.0007458544355365197,0.0007388120998819411,0.0007458544355365197,0.00012446492714997056,9.651410343215305e-06,0.00018215534755347947,2.7070038975425616e-05,0.0001314873216676021,1.0180881436843733e-05,0.00018975470182217732,3.418144022272531e-05,0.00015010794297186397,1.5272226298320942e-05
profession,writing_occupations,178,0.3520101123595506,0.48303727793469886,0.6760050561797754,0.24151863896734943,0.0008895345803303121,0.001685907562897928,0.0008895345803303121,0.001685907562897928,0.0001246285312671706,1.641192175088633e-05,0.00020145862906114354,0.0002212946063985811,0.00013230120294905278,1.318278138940299e-05,0.0001962587296710287,0.0001367203295720926,0.00015268866697083007,6.903780415457942e-05
race,African_Americans,783,0.334686717752235,0.506776852028331,0.6673433588761175,0.2533884260141655,0.003177625990884871,0.03524015622386501,0.003177625990884871,0.03524015622386501,0.00016568690359025675,0.0009420397653714165,0.0013379807899595152,0.02938083900408411,0.0001792072213750266,0.0006772947860787459,0.0006457203416899263,0.010645605298412828,0.00037006910627997467,0.0035393391520637707
race,Asian_Americans,364,0.4184626373626374,0.49326953067765433,0.7092313186813186,0.24663476533882722,0.001223543609599941,0.0041108431235296165,0.001223543609599941,0.0041108431235296165,0.0001241690959152318,3.1074357957206764e-05,0.00027051737221312237,0.0010353178943592312,0.00013079416363165526,3.6624052090402e-05,0.00021739883607721651,0.00029098120900566173,0.00016270456922779137,0.0001314134617948143
race,European_Americans,2044,0.288152397260274,0.5177935536852591,0.644076198630137,0.2588967768426296,0.0018105731450965348,0.017099782582748982,0.0018105731450965348,0.017099782582748982,0.00013338389669103254,0.0003561059683480611,0.0005146581226081128,0.009169113710736209,0.0001825414262923873,0.0016106023858948224,0.00032709926813501416,0.0036048796413927814,0.000243705413239341,0.0021553222578898743
race,Hispanic_and_Latino_Americans,43,0.48029999999999995,0.42495451409253093,0.74015,0.21247725704626547,0.0009540923597659309,0.0010614110248812249,0.0009540923597659309,0.0010614110248812249,0.00011966577128691296,1.0677516283203304e-05,0.00019630205446615989,5.3575709737517246e-05,0.00012542008165795313,1.592578017734047e-05,0.0001981851085072903,4.094751167597285e-05,0.0001521895762782024,1.808186305309325e-05
religious_ideology,atheism,12,-0.34534166666666666,0.26934011772320793,0.32732916666666667,0.13467005886160396,0.0029103975587834916,0.0037705862396128446,0.0029103975587834916,0.0037705862396128446,0.00011024679952242877,1.2890588468565208e-05,0.0002174332257709466,7.706108910760827e-05,0.00013005708266670504,3.350344141323962e-05,0.00025126407005397294,0.00014248295961874813,0.00023442672439462817,0.0001836453954554761
religious_ideology,buddhism,57,0.2509859649122807,0.4254510020632713,0.6254929824561404,0.21272550103163557,0.0009056041732005644,0.0013247433079049166,0.0009056041732005644,0.0013247433079049166,0.00012362133221406686,8.850025555119912e-06,0.0001857102281320023,5.9483558501068546e-05,0.0001307898784401467,1.844609914246955e-05,0.0001902997385498071,5.30711888690083e-05,0.0001608893753176457,3.8884895316978544e-05
