axis,full_gen_bias,full_gen_bias_mean_emotion,template_count,descriptor_count
None,0.0,0.0,1,1
ability,37.008624853411355,1.3217366019075492,748,64
age,56.73695473808455,2.026319812074451,638,60
body_type,121.72624762721277,4.3473659866861665,951,149
characteristics,44.59587966307536,1.5927099879669786,1042,88
cultural,29.819407464687618,1.0649788380245575,331,24
gender_and_sex,44.67921329029186,1.5956861889389953,548,46
nationality,13.953433991572254,0.4983369282704377,313,24
nonce,9.084249971415844,0.3244374989791373,127,8
political_ideologies,23.248454896178906,0.8303019605778184,344,25
race_ethnicity,28.38979998028244,1.0139214278672302,394,30
religion,39.349169754958325,1.4053274912485114,485,39
sexual_orientation,13.048841693326667,0.4660300604759524,251,17
socioeconomic_class,15.626572761426875,0.5580918843366743,357,24
