axis,bucket,count,mean_max_emotion_probability,std_max_emotion_probability,mean_prob_admiration,std_prob_admiration,mean_prob_amusement,std_prob_amusement,mean_prob_anger,std_prob_anger,mean_prob_annoyance,std_prob_annoyance,mean_prob_approval,std_prob_approval,mean_prob_caring,std_prob_caring,mean_prob_confusion,std_prob_confusion,mean_prob_curiosity,std_prob_curiosity,mean_prob_desire,std_prob_desire,mean_prob_disappointment,std_prob_disappointment,mean_prob_disapproval,std_prob_disapproval,mean_prob_disgust,std_prob_disgust,mean_prob_embarrassment,std_prob_embarrassment,mean_prob_excitement,std_prob_excitement,mean_prob_fear,std_prob_fear,mean_prob_gratitude,std_prob_gratitude,mean_prob_grief,std_prob_grief,mean_prob_joy,std_prob_joy,mean_prob_love,std_prob_love,mean_prob_nervousness,std_prob_nervousness,mean_prob_optimism,std_prob_optimism,mean_prob_pride,std_prob_pride,mean_prob_realization,std_prob_realization,mean_prob_relief,std_prob_relief,mean_prob_remorse,std_prob_remorse,mean_prob_sadness,std_prob_sadness,mean_prob_surprise,std_prob_surprise,mean_prob_neutral,std_prob_neutral
None,(none),16,0.7098960429430008,0.16784120398789887,0.18089940707432106,0.29806253443856884,0.0037091663343744585,0.008418118013054374,0.010183693084400147,0.019500280752913778,0.03376505972119048,0.059500427040862836,0.1285706190392375,0.17832441152104989,0.08413597496473812,0.20010075213062503,0.06541201893196558,0.2301142398742785,0.05213319398353633,0.10342372999968782,0.09737533451698255,0.2007928737398633,0.031457005912670866,0.05940229249483407,0.019335072487592697,0.024021642437805482,0.005704211434931494,0.008805856818730399,0.0015741605220682686,0.0014464861799369534,0.009608931204638793,0.015715639897750624,0.0027292701961414423,0.002377497526816988,0.0036135224963800283,0.00345174997387519,0.0028710332571790786,0.00503375709842297,0.02866765942235361,0.0646192892468302,0.2270443353045266,0.3421381808218514,0.0034805310151568847,0.004785448516418805,0.025532545740134083,0.02762742119237465,0.0017931122092704754,0.0010862714130120332,0.01798836750094779,0.01733034607071874,0.0027747706990339793,0.0033090249986416805,0.002895106737923925,0.002319275586459407,0.10207112742500613,0.2620630792831297,0.011824399482065928,0.04037708511301858,0.16255634964909405,0.19120700275788402
ability,(none),544,0.5943972642862183,0.1685777427889299,0.07266899026227988,0.17057920008652358,0.003790742936925038,0.029330229270464896,0.018693611274369793,0.0640590638543123,0.06673405556819703,0.13882777833343896,0.12373164317635682,0.15650336036095375,0.06710070427711531,0.14781030516805804,0.053908594812181784,0.11890409683319403,0.10100206017550055,0.19597515957646083,0.08877398596557802,0.19209229124367017,0.05300618665483746,0.10873589127638789,0.04515203824378071,0.09511963472843388,0.007983863138339502,0.03955798737101558,0.004315077991684709,0.02371529764313408,0.005843601078301136,0.027624517759282964,0.0042072248599973085,0.010183446518165723,0.015707858570508774,0.09485823091415069,0.00225620170150411,0.003514479266076124,0.01962670069609457,0.07927803954141442,0.05224222785460263,0.16983322864216763,0.006750477591033225,0.014713523113542081,0.03340172598109348,0.08066668547938144,0.009082655667190706,0.04923496202486403,0.03770280666418223,0.06870188511617427,0.006726029905059798,0.015527149192540071,0.004050208544332932,0.005898840012515356,0.054249776585600235,0.14253127199647744,0.003222903910709112,0.018226270991821527,0.2883615538423114,0.2526398438444653
ability,auditory,68,0.6025630579713512,0.1818471994941087,0.11957771435760044,0.2383686700574429,0.0054761667471372195,0.025999968830171298,0.024998077557778314,0.09593081398384824,0.07354665647931945,0.14897509035868353,0.11615839172565542,0.14472859763974225,0.059590106057893374,0.15600665329099023,0.0644236270497512,0.15050699523871558,0.11516484981428435,0.21059094752920882,0.09284440778548528,0.1941957893404471,0.05066566727028283,0.11008171216715446,0.055208288520054126,0.1369149508492151,0.0037927361494546536,0.005697437905714274,0.0023924782962079488,0.0032161339538869034,0.008211234896460903,0.018943173663092058,0.0030881420423290416,0.004765672791973788,0.032586065195038615,0.16588917803746575,0.00189115599855808,0.002351975095464392,0.046522557785090825,0.1407423853394912,0.011124983063970884,0.03755844225857263,0.004611126013247378,0.0067869475374784894,0.024252913697102273,0.037661332022668484,0.01092129665603887,0.0580874051029652,0.0287192469524384,0.033594498619426816,0.008848163109445629,0.018137135062722392,0.0030664323843238354,0.003942568308580386,0.0344553115488345,0.07941146746087499,0.0031810096222804583,0.0045359426697129425,0.23524784252924077,0.22325138981718073
ability,intellectual_and_developmental,17,0.6265803663169637,0.15256848369385612,0.14952713751699775,0.2842227759497101,0.0017437489723841496,0.0013067337724799245,0.018192681932465777,0.03803235785154582,0.09017405217951711,0.14360604545285344,0.14781360725379167,0.212145567921379,0.02126128988011795,0.03487725045013486,0.04593626714503283,0.06964670521286843,0.12301874991424162,0.2116735270727082,0.11518306630280088,0.2579188330154984,0.1003432367270922,0.16726851763323444,0.08269335091223612,0.14655514180866147,0.0043603309758884065,0.004797604443342739,0.0033966665043194287,0.003501309911389958,0.006726873870802057,0.010051907852536424,0.003663533868829665,0.00373659330681106,0.003352281346451491,0.0034468647792569016,0.00165186554145561,0.0017277525347776858,0.007913293851101223,0.00985946133712917,0.05223690698382116,0.20206490627729665,0.009084434549817267,0.016960726856604293,0.03085665061029003,0.032127819561830154,0.007426081964855685,0.013572850763691868,0.05834747037357267,0.12078728002304787,0.005988957781536395,0.010178816150025789,0.004212136839187759,0.007690730779232289,0.04105559678967385,0.08758834969221002,0.0028144202027332913,0.002350267245228931,0.1701409480370143,0.1699568483129178
ability,mobility,85,0.631377536058426,0.19342243054369998,0.12802325563902472,0.24667989748603805,0.006136248444946592,0.030121195681790985,0.010701407866744214,0.0376522274434147,0.035804473956608594,0.07292660019938103,0.1408280207501615,0.14935019155068094,0.04495872523197356,0.11084415358592212,0.034458427714622195,0.09137241487329126,0.06459325689562213,0.15597642862085437,0.08993042692309246,0.2157397664874368,0.0376710910911617,0.0894898648664631,0.0387250542476335,0.07878996896550232,0.0116306136126,0.06080596528837924,0.0034258913406280474,0.011860574151605217,0.011038171131889719,0.043155680306592274,0.012869814092033159,0.0930141162205405,0.037641445653143285,0.17110184665040595,0.002386016320601544,0.0036148700031949066,0.055157336251645844,0.13603907859622927,0.12328849178362254,0.2906266854280503,0.005508148396962925,0.012947772432120397,0.03571656811023679,0.07327499746472736,0.0064434424647034205,0.009820969085317464,0.043036991902900966,0.07413789582964517,0.01569000445135102,0.029011377853616824,0.0035290700886809433,0.004728183789156196,0.046726696619846145,0.13731939865690654,0.005473378513638368,0.01923056101229196,0.2270675056230496,0.2207945340759602
ability,neurological,119,0.5554048613089473,0.16151093236801087,0.09389660479706328,0.1865854119185054,0.004836724263013285,0.023029219174633457,0.014973034068722935,0.04872183009924441,0.059161165459159795,0.127055602416864,0.15128623378392653,0.16686174795489359,0.02551377618327314,0.06077445958227529,0.07308858092541673,0.1400088043399597,0.11777024752286286,0.2155801288415595,0.12242075261374262,0.23353833913300223,0.04704957671107396,0.0851437897793251,0.04439390234320479,0.08684457281721909,0.00504305912426305,0.00748189512599283,0.003285163951139631,0.004210508968141102,0.011579706898045201,0.04302733993497408,0.004150788058837907,0.005946343717944856,0.005659969467175694,0.020304515298311267,0.001959742350037163,0.002207350174587834,0.029963965866198185,0.1019595873555081,0.042510975034615935,0.1627092626946474,0.006469380964662982,0.011995766554381245,0.02361631760189795,0.0247762839880289,0.016720321383959458,0.0605988285031752,0.05498310385718003,0.10319708726522588,0.009035604622801022,0.019505194018690827,0.0036995853307195195,0.0067378060507466,0.03557879850317278,0.08154959842382971,0.002902740249317335,0.0029444367022500124,0.24065853331331946,0.20692844979800265
ability,speech,51,0.5933679923707363,0.18979415653182563,0.058929932772811944,0.14943149986622362,0.02435035819037105,0.13161462629143225,0.008175202710417044,0.02442646161704037,0.04159504644043159,0.06957355894021824,0.11563026894103079,0.15884871998355213,0.080802496983761,0.17666236336704724,0.06543985809263426,0.1410648372040884,0.1134098432398876,0.1929905155359794,0.13284071048438623,0.22245057925766606,0.04376769840132957,0.08836456840107469,0.033578408069397304,0.05262976085745417,0.003823322974437592,0.005360001774179846,0.0027890066090085564,0.004451825298244208,0.008074813439081624,0.01888347393717238,0.003356378142009763,0.003283882299742629,0.0033498989942017943,0.004826552946626403,0.0016954262072092616,0.0020736424006609685,0.038102326964886454,0.12471897203027371,0.04650035556622635,0.15787906444357966,0.006269962231824905,0.010687079725008358,0.047322440744085495,0.093686499218555,0.002353734475464615,0.0035610109442979943,0.04406960792017772,0.0918446141199623,0.004353757515120521,0.006713138928711493,0.003928684638059863,0.005318710657278713,0.03243162497700028,0.0771483528808271,0.002652623853874484,0.0039285538689990684,0.29847896004132196,0.2910702682786258
ability,unspecific,102,0.5933568306705531,0.20536752479127268,0.05114153906013634,0.12291817440358987,0.009333820723387523,0.07827554058286144,0.011102984321541061,0.024371593571675426,0.053346232433492936,0.08927248367904117,0.10377547708705213,0.14702496452766886,0.06832337169251725,0.15508113088207162,0.1246911820370074,0.26249355912731026,0.07448452517650474,0.16628748387856557,0.14039944438206708,0.23828443701021046,0.07357855856774703,0.10549205379946586,0.06921006628430869,0.13400144788907128,0.00653923151577485,0.020038186945122466,0.005369772820153693,0.010168528010912965,0.00464391904996078,0.007348240433738094,0.011581585842969954,0.0423912772655854,0.008212454279190769,0.04871602281738676,0.003071497720905908,0.003690152430896523,0.015552398805762185,0.04558665097762084,0.07184045129557204,0.22815595739850103,0.012415190296094664,0.026044678860307112,0.027484879050604708,0.04524336661534494,0.01059515890818718,0.04982137799947586,0.036100991787023695,0.05370207930942112,0.007443483317140764,0.017725002458943852,0.006356113449916901,0.007258817234250243,0.06267135846770971,0.13924804804410879,0.011340952095576772,0.07169798069631805,0.20285327350903376,0.19797156289378912
ability,visual,69,0.5912777936976888,0.1841021285696905,0.07570366061501799,0.18178398969017742,0.00189368408620425,0.002025052158462374,0.010402795477378844,0.021929405343769904,0.057926051429999265,0.10508949574375236,0.12984965060689097,0.17647402514138094,0.04758982037605745,0.09385510019924179,0.0889991288093607,0.2026972840500574,0.0972124845134533,0.1930015286899107,0.08695394050016109,0.1886946548616847,0.04546210582982209,0.07132153982381167,0.05124674530605367,0.08353406363850344,0.005036289391168596,0.009640477416476521,0.0028082320615952917,0.003236772293789092,0.005733160159898166,0.015082616982544471,0.015055497890621748,0.07369486025617761,0.01853143490586882,0.11892405568129877,0.0024015748617323657,0.004480857677752225,0.009702611462368319,0.030169019825299025,0.0332574334068973,0.13932190104247488,0.009562624703613583,0.01978067182576627,0.03304872064230343,0.07042641653660459,0.003122182430503755,0.005308356521865268,0.043900140898599144,0.06413504364597665,0.006971743491400654,0.014518532030190162,0.003735302634489979,0.005959444918592398,0.05077146169851008,0.1435099200028077,0.01729436996991854,0.0959957301858643,0.2728937240857361,0.24457895978279187
age,(none),16,0.5926179960370064,0.23392698327827677,0.013770575082162395,0.016546359292722485,0.004960055710398592,0.009729299664970575,0.004653313615563093,0.0035917108658991164,0.03402204264421016,0.03833584601297983,0.033943216141778976,0.01733460917410493,0.007808412028680323,0.0065134903281781455,0.03855475114323781,0.06024042237043457,0.09883068679118878,0.1918598888642295,0.26568404076533625,0.3066388132631565,0.09646148316096514,0.17001250675971627,0.023805825534509495,0.022888932424287033,0.0036220788861101028,0.002422097824869615,0.002129650063579902,0.0020902609424004494,0.04585830824362347,0.1111437806463106,0.0038775355787947774,0.0026449823261964146,0.0011165111227455782,0.0008407529530149964,0.001426190461643273,0.0014529759867188377,0.015272539414581843,0.023719148790714534,0.05464447855047183,0.19784217336834808,0.008331516037287656,0.011027982583599789,0.03970903131994419,0.0342186080806698,0.0013970766935926804,0.0012719548984001794,0.02132110099773854,0.019611724770234998,0.0021006720617151586,0.0018136686691233,0.0030926394583730143,0.0035165877583895337,0.03636970018851571,0.09186316576912303,0.004531564522039844,0.007545030148074984,0.253299280826468,0.30426475794288405
