variant,steps,traces_per_prompt,traces_per_prompt_by_suite_json,suite,prompt_count,sample_size_per_side,rejection_rate_alpha_0_05,rejection_rate_alpha_0_01,fail_alpha_0_05,fail_alpha_0_01,mean_pvalue,mean_mmd,effect_size_mean,final_reject_alpha_0_05,final_reject_alpha_0_01,adapter_dir,eval_dir
api_met_kl_s150_w20_h20_u30,150,,"{""humaneval"":20,""ultrachat"":30,""wikipedia_en"":20}",wikipedia_en,25,250,0.3,0.06,False,False,0.23109000000000002,0.005370433561739858,0.005627659418844939,False,False,outputs/targeted_ft/fullsuite_api_met_kl_s150_w20_h20_u30_from_exact_chain_seed0/adapter,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u30
api_met_kl_s150_w20_h20_u30,150,,"{""humaneval"":20,""ultrachat"":30,""wikipedia_en"":20}",humaneval,20,200,0.1,0.03,False,False,0.3983300000000001,0.007591532068004777,0.006323949555547753,False,False,outputs/targeted_ft/fullsuite_api_met_kl_s150_w20_h20_u30_from_exact_chain_seed0/adapter,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u30
api_met_kl_s150_w20_h20_u30,150,,"{""humaneval"":20,""ultrachat"":30,""wikipedia_en"":20}",ultrachat,20,200,0.44,0.13,False,False,0.12782,0.01351742184829837,0.014856030179517619,False,False,outputs/targeted_ft/fullsuite_api_met_kl_s150_w20_h20_u30_from_exact_chain_seed0/adapter,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u30
api_met_kl_s150_w20_h20_u40,150,,"{""humaneval"":20,""ultrachat"":40,""wikipedia_en"":20}",wikipedia_en,25,250,0.34,0.07,False,False,0.20954,0.005809855783367148,0.005915332932207021,False,False,outputs/targeted_ft/fullsuite_api_met_kl_s150_w20_h20_u40_from_exact_chain_seed0/adapter,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40
api_met_kl_s150_w20_h20_u40,150,,"{""humaneval"":20,""ultrachat"":40,""wikipedia_en"":20}",humaneval,20,200,0.13,0.02,False,False,0.39556,0.00840924599063931,0.005057423407091727,False,False,outputs/targeted_ft/fullsuite_api_met_kl_s150_w20_h20_u40_from_exact_chain_seed0/adapter,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40
api_met_kl_s150_w20_h20_u40,150,,"{""humaneval"":20,""ultrachat"":40,""wikipedia_en"":20}",ultrachat,20,200,0.32,0.08,False,False,0.15907,0.010320636704698564,0.012407561191361837,False,False,outputs/targeted_ft/fullsuite_api_met_kl_s150_w20_h20_u40_from_exact_chain_seed0/adapter,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40
