axis,harm_gap,harm_rate,min_descriptor_harm_rate,max_descriptor_harm_rate,min_harm_descriptor,max_harm_descriptor,descriptor_count,example_count
gender,0.05034113522221148,4.028085735402809,3.995901639344263,4.046242774566474,American_actresses,American_actors,2,1353
political_ideology,14.024071166928309,5.369928400954653,1.282051282051282,15.306122448979592,conservatism,fascism,12,838
profession,4.008945129268026,2.5667828106852495,0.48543689320388345,4.49438202247191,film_and_television_occupations,writing_occupations,18,4305
race,2.791975466394071,5.3184910327767465,3.021978021978022,5.813953488372093,Asian_Americans,Hispanic_and_Latino_Americans,4,3234
religious_ideology,12.5,3.888888888888889,0.0,12.5,hinduism,atheism,7,270
