axis,bucket,count,mean_sentiment_compound,std_sentiment_compound,mean_negative_sentiment,std_negative_sentiment,mean_max_toxicity_probability,std_max_toxicity_probability,mean_toxic,std_toxic,mean_harm_score,std_harm_score,mean_toxicity_probability_toxic,std_toxicity_probability_toxic,mean_toxicity_probability_severe_toxic,std_toxicity_probability_severe_toxic,mean_toxicity_probability_obscene,std_toxicity_probability_obscene,mean_toxicity_probability_threat,std_toxicity_probability_threat,mean_toxicity_probability_insult,std_toxicity_probability_insult,mean_toxicity_probability_identity_hate,std_toxicity_probability_identity_hate
gender,American_actors,865,0.3573447398843931,0.4852261832251323,0.10173410404624278,0.3024732136210627,0.004276853522441937,0.02895767486526793,0.0011560693641618498,0.03400102004590229,5.144508670520231,15.199557453360004,0.004276853522441937,0.02895767486526793,0.00016909823380309734,0.0006497504359092752,0.0016011074705707513,0.017365724066451448,0.0001730077581364403,0.0004764141199981505,0.0008301067133898432,0.00752535545975606,0.0004918009404266641,0.0042992225941109125
gender,American_actresses,488,0.4054928278688525,0.48773796467637015,0.08401639344262295,0.27769707051939957,0.005993136520030885,0.040665735529475944,0.004098360655737705,0.06395267883972693,4.405737704918033,14.544957136390533,0.005881495860030257,0.03930276977322779,0.00021119180825631017,0.0010160684125447696,0.002649882339833535,0.03192181032275623,0.0001790755920604274,0.000517858568584267,0.001020448266884711,0.00956911797419033,0.0014155597476272932,0.014632578059957456
political_ideology,anarchism,67,0.14654925373134328,0.4889604890070779,0.13432835820895522,0.34357842332065347,0.01188479481028643,0.04649492969816969,0.0,0.0,6.7164179104477615,17.178921166032673,0.01188479481028643,0.04649492969816969,0.0002662855796229247,0.0007390210156995436,0.005410160754682191,0.02512404634030038,0.00022566314222405789,0.00047814164095950505,0.002035286133316582,0.009135065236282006,0.0008900799367615064,0.003265483147206256
political_ideology,capitalism,37,0.3338810810810811,0.44500997481819177,0.02702702702702703,0.16439898730535726,0.01736373991258694,0.09240403237182261,0.02702702702702703,0.16439898730535726,2.7027027027027026,11.462171756756282,0.01736373991258694,0.09240403237182261,0.00037015529783643986,0.0014754823356170862,0.0008855014956852019,0.004216225666236318,0.0003103009376728379,0.0010732548212299552,0.0021080042662671643,0.011032394717433412,0.013116610666337373,0.07691741424266368
political_ideology,communism,55,0.1322490909090909,0.475801944819063,0.12727272727272726,0.3363499860730087,0.0028189577331597156,0.006150763389159571,0.0,0.0,6.363636363636363,16.817499303650436,0.0028189577331597156,0.006150763389159571,0.00011921166865663095,3.310374479349454e-05,0.0003287431815723804,0.0010000198388880098,0.0001371836641655219,5.2763868826480205e-05,0.0002756131199103865,0.0003464225276452375,0.0002358842773405327,0.00018966186708742967
political_ideology,conservatism,39,0.4158153846153846,0.45344755661398195,0.05128205128205128,0.22345586503095893,0.0008614383240899023,0.0005450809980815953,0.0,0.0,2.564102564102564,11.172793251547947,0.0008614383240899023,0.0005450809980815953,0.00011583581922772842,7.2009053673773824e-06,0.00017551987996109977,1.2382290333185752e-05,0.00012157708335554418,6.507284528578972e-06,0.00018109457241968275,1.6750297323723493e-05,0.0001601851765418616,2.9201848863058577e-05
political_ideology,democracy,144,0.23562013888888889,0.43730445725243605,0.05555555555555555,0.22986094238920377,0.0017572458442979648,0.00988742652322565,0.0,0.0,2.7777777777777777,11.493047119460188,0.0017572458442979648,0.00988742652322565,0.00011970118526328911,1.643211010181021e-05,0.00019125103507475514,8.717143465202465e-05,0.00013026497567302108,6.089540669981883e-05,0.0002051928072938204,0.00021976980207086098,0.00018963430637894716,0.00032485643316664827
political_ideology,fascism,49,-0.07595102040816326,0.5875704525567016,0.3469387755102041,0.4809288065886703,0.030742404375424876,0.08929462635262343,0.0,0.0,17.346938775510203,24.046440329433516,0.030742404375424876,0.08929462635262343,0.0004640206034124202,0.0013465823219720274,0.004342411407174504,0.02304704113903404,0.00043605030983524893,0.0009221734499543827,0.00337516293980951,0.012549182666915192,0.011268676047769318,0.05584292703949344
political_ideology,left-wing,48,0.2530354166666667,0.5505603174830681,0.14583333333333334,0.3566739576374165,0.013046612630811675,0.0770413293401224,0.020833333333333332,0.14433756729740643,8.333333333333332,18.831089428867738,0.013046612630811675,0.0770413293401224,0.0004637626613354466,0.002359770200373904,0.00872501326193742,0.05724373046289101,0.0003003894178921958,0.0012112454058219161,0.004114594615505969,0.026683090133051462,0.0016276604083031998,0.009910239721558564
political_ideology,liberalism,39,0.48195641025641023,0.4513864634276509,0.07692307692307693,0.26995276239950855,0.001046350315356484,0.0008169102394152305,0.0,0.0,3.8461538461538463,13.497638119975427,0.001046350315356484,0.0008169102394152305,0.00011149567301170184,7.458396660956182e-06,0.00017381322985061278,1.3994220528091622e-05,0.00012012533951723852,7.002898773428986e-06,0.00018927136559982618,2.7382589148734413e-05,0.0001659244672060968,3.285853524706017e-05
