axis,bucket,count,mean_sentiment_compound,std_sentiment_compound,mean_negative_sentiment,std_negative_sentiment,mean_max_toxicity_probability,std_max_toxicity_probability,mean_toxic,std_toxic,mean_harm_score,std_harm_score,mean_toxicity_probability_toxic,std_toxicity_probability_toxic,mean_toxicity_probability_severe_toxic,std_toxicity_probability_severe_toxic,mean_toxicity_probability_obscene,std_toxicity_probability_obscene,mean_toxicity_probability_threat,std_toxicity_probability_threat,mean_toxicity_probability_insult,std_toxicity_probability_insult,mean_toxicity_probability_identity_hate,std_toxicity_probability_identity_hate
gender,American_actors,865,0.45695884393063585,0.47585055540788773,0.07398843930635839,0.2619035107444529,0.0013432495762335643,0.005962059627797713,0.0,0.0,3.6994219653179194,13.095175537222644,0.0013432495762335643,0.005962059627797713,0.00012353072900155485,7.513997153149992e-05,0.0002450731659652611,0.000813087574126186,0.0001336792298031411,0.00017234372537855408,0.0002440287342639586,0.0006834419136675271,0.00022716770946879932,0.0016030843645352454
gender,American_actresses,488,0.5055915983606557,0.473246373219063,0.0778688524590164,0.26824007607332306,0.0016952072534773147,0.011530391302789326,0.0,0.0,3.8934426229508197,13.412003803666153,0.0016952072534773147,0.011530391302789326,0.00012293165020280152,3.682218813629887e-05,0.00023942031284754134,0.0005862811705310959,0.00013168741463500812,7.453111301906939e-05,0.00023272448471870435,0.0003701678109052888,0.0001872634544926142,0.000686248715651293
political_ideology,anarchism,67,0.22358955223880597,0.4699851203751443,0.05970149253731343,0.2387211518300628,0.0018850318095368793,0.00844460076399101,0.0,0.0,2.9850746268656714,11.93605759150314,0.0018850318095368793,0.00844460076399101,0.00012915076730501797,8.329278714118946e-05,0.0005230334669494056,0.0028856400061850404,0.00013556315769083492,7.785912952371202e-05,0.0002864874500187058,0.0008251165442151946,0.0002193844572244796,0.00033292583900802075
political_ideology,capitalism,37,0.3688810810810811,0.45919504984134873,0.05405405405405406,0.22924343513512566,0.003061812312807888,0.009575897358098297,0.0,0.0,2.7027027027027026,11.462171756756282,0.0030607901736968072,0.00957023921858636,0.00016053221888550734,0.00024120466510555428,0.00029427913879673625,0.0005659551520330756,0.00016668295162113232,0.00020583830308453565,0.0003225621507767387,0.0006942739188162786,0.0016400665567866905,0.008955391987815128
political_ideology,communism,55,0.15631272727272724,0.44738774137353515,0.05454545454545454,0.2291838836507762,0.0010475750388154253,0.0008394098550050024,0.0,0.0,2.727272727272727,11.459194182538809,0.0010475750388154253,0.0008394098550050024,0.00011661774544997818,9.807728593611095e-06,0.00017605032718909735,3.0252985878154268e-05,0.00012424162083665246,8.48751911547616e-06,0.0001930782761932774,3.0162513605784747e-05,0.00017525225994177162,4.3455756586801256e-05
political_ideology,conservatism,39,0.6594794871794871,0.32808737698450424,0.0,0.0,0.0006601483134242395,7.182917616024322e-05,0.0,0.0,0.0,0.0,0.0006601483134242395,7.182917616024322e-05,0.00012394512155785775,5.75822397861463e-06,0.00017362240983997114,6.769950338585761e-06,0.00012985134582357624,6.5262139396132994e-06,0.0001789101959916596,5.7510584288264215e-06,0.000155558520838475,1.0233895412187667e-05
political_ideology,democracy,144,0.4403145833333333,0.48571643213214616,0.0763888888888889,0.2665464472601512,0.0007156930227615198,0.00043910318077564954,0.0,0.0,3.8194444444444446,13.32732236300756,0.0007156930227615198,0.00043910318077564954,0.00012419773985230777,9.613123090081304e-06,0.0001795210588776778,1.5803956866118032e-05,0.00013017521380081435,9.719091193183453e-06,0.00018171927887225238,2.2033811989142744e-05,0.0001601256528576616,9.118332924501435e-05
political_ideology,fascism,49,0.1340204081632653,0.572155445435501,0.20408163265306123,0.4072055089639778,0.0036797886868767745,0.009633584107559502,0.0,0.0,10.204081632653061,20.360275448198887,0.0030881234846191897,0.006731643438452376,0.00017821650470402662,0.00030419079912129564,0.0003061274438383704,0.00041798589839922226,0.00017288699196722852,0.00022517516653758636,0.0003667081779282426,0.0007016262041453625,0.0021376003581336793,0.00968317057493113
political_ideology,left-wing,48,0.19273958333333333,0.6172049619012857,0.22916666666666666,0.42474439539379405,0.0008605378582918396,0.000502579138102715,0.0,0.0,11.458333333333332,21.237219769689702,0.0008605378582918396,0.000502579138102715,0.00011787970151999616,7.791766311167403e-06,0.000176491746060492,1.6721834072411664e-05,0.00012225867840243154,1.0860603401503308e-05,0.00018334306666171565,1.8906359425497843e-05,0.00016867555859789718,5.032050313029555e-05
political_ideology,liberalism,39,0.6339923076923076,0.46315237028127787,0.05128205128205128,0.22345586503095893,0.0008157289031749734,0.0007304583671846066,0.0,0.0,2.564102564102564,11.172793251547947,0.0008157289031749734,0.0007304583671846066,0.00012073149730731996,6.961049038507427e-06,0.0001771643516034461,3.407785361228781e-05,0.00012793377950751723,9.3432178134895e-06,0.00018364247695829434,1.6767113125374798e-05,0.00015608269127252966,7.745818634525792e-06
political_ideology,nationalism,191,0.279169109947644,0.53770339401525,0.14136125654450263,0.34930943960378097,0.001527379301964203,0.006496526122347288,0.0,0.0,7.068062827225131,17.465471980189047,0.001527379301964203,0.006496526122347288,0.00014423203793401874,0.0001634996993064407,0.0002243825672096841,0.0004611326316884836,0.00016665507268120354,0.00033550703996786503,0.00023647161581278022,0.0005125479557941025,0.0006610310369955024,0.00587597084405943
political_ideology,populism,25,0.22274000000000002,0.5483956995941283,0.24,0.4358898943540673,0.0009083347907289863,0.000612912249417587,0.0,0.0,12.0,21.794494717703365,0.0009083347907289863,0.000612912249417587,0.00011794864461990073,9.78214388170897e-06,0.00017477254499681294,7.763771892830195e-06,0.00012533574627013878,7.369467279169025e-06,0.0001885679690167308,2.663060638925991e-05,0.0001655405090423301,4.909198844417992e-05
political_ideology,right-wing,35,0.31061142857142854,0.6416753892426168,0.17142857142857143,0.3823852604310971,0.0009426789591088891,0.0005900700886455969,0.0,0.0,8.571428571428571,19.119263021554854,0.0009426789591088891,0.0005900700886455969,0.00011757162387116945,8.500095672034726e-06,0.00018014625820796936,1.6918897564099562e-05,0.00012388093268132902,9.779912803921883e-06,0.00018362583110242018,1.8832689318034925e-05,0.00017641864043460893,7.039227359640126e-05
political_ideology,socialism,109,0.3991963302752293,0.39377964460460224,0.027522935779816515,0.16435708619920833,0.0007300431078616017,0.00019066936392174053,0.0,0.0,1.3761467889908259,8.217854309960417,0.0007300431078616017,0.00019066936392174053,0.00011991254903628158,7.2684239377810555e-06,0.00017191059599040983,8.479653486373097e-06,0.0001257422761703252,7.999585249218051e-06,0.00018161243410383718,8.717653402096778e-06,0.00015695441907822847,1.906095119752175e-05
profession,artistic_occupations,183,0.3885551912568306,0.43234848614936794,0.0546448087431694,0.22790917692405346,0.0007829103419109365,0.0009870729580707543,0.0,0.0,2.73224043715847,11.395458846202674,0.0007829103419109365,0.0009870729580707543,0.00012432729324091815,9.8718228172126e-06,0.00018280550304423671,2.4077339477224692e-05,0.0001323615672204216,1.0319671829752399e-05,0.0001875492808557894,3.2074007763969804e-05,0.00015064196987459282,1.856082172909018e-05
profession,computer_occupations,88,0.44901590909090905,0.3927974248711045,0.022727272727272728,0.1498867562775945,0.0007874084800608795,0.0016145955716877086,0.0,0.0,1.1363636363636365,7.494337813879726,0.0007874084800608795,0.0016145955716877086,0.00012731156154834687,6.410030866856018e-06,0.0001922080388215942,8.550531965016021e-05,0.00013649641724358926,1.1114248763851853e-05,0.00018664917776980226,5.289233770850195e-05,0.00014630689921349668,1.5219864601186928e-05
profession,corporate_titles,42,0.5201142857142858,0.47210866957566217,0.07142857142857142,0.26066118021500656,0.0006144856743048877,7.732355045481666e-05,0.0,0.0,3.571428571428571,13.033059010750328,0.0006144856743048877,7.732355045481666e-05,0.00012825944819875681,6.956896456734259e-06,0.00018632016179340316,5.434934332573067e-06,0.00013647836732118214,7.164683967399896e-06,0.00018091306230330484,3.239622610444996e-06,0.00014518029915745414,3.7792353756583986e-06
profession,dance_occupations,264,0.41095340909090905,0.3933939882946315,0.03409090909090909,0.18180737956158088,0.0009192166544380598,0.0016217944868405709,0.0,0.0,1.7045454545454544,9.090368978079045,0.0009192166544380598,0.0016217944868405709,0.00012292096432771137,9.896731967675904e-06,0.0001910660938654363,0.00010990008102643356,0.00012965017098891124,1.4538315901842405e-05,0.00019624611162395343,9.015928984788497e-05,0.00015366359884589627,2.7813486402054264e-05
profession,engineering_branches,1318,0.2614291350531108,0.4189874288794455,0.05235204855842185,0.22282051411529982,0.0010456874569060425,0.005940200696784901,0.0,0.0,2.6176024279210925,11.14102570576499,0.0010456874569060425,0.005940200696784901,0.00012595291052020524,3.324420027113686e-05,0.00024610855964859324,0.001447528663547165,0.0001347302419488295,3.510344673164525e-05,0.000199979416419588,0.00035736793028547033,0.00015408698898582536,0.00014218577944300766
profession,entertainer_occupations,187,0.40143368983957217,0.4206670244644756,0.0427807486631016,0.2029056935810539,0.0021872747861307095,0.007578136742886458,0.0,0.0,2.13903743315508,10.145284679052695,0.0021872747861307095,0.007578136742886458,0.0001289404944325598,7.34703278100537e-05,0.00023179908779843208,0.0002862445216584359,0.0001432690533646258,0.00010495679012245698,0.0002748339178904712,0.0004791953852455771,0.00029566477186402637,0.0015772629063591156
profession,film_and_television_occupations,103,0.43651359223300973,0.4001436462779051,0.019417475728155338,0.13866184882315602,0.001284761641409646,0.0060041119591037195,0.0,0.0,0.9708737864077669,6.933092441157801,0.001284761641409646,0.0060041119591037195,0.00013375041813666489,9.560594921364596e-05,0.0002059481681428524,0.00023760713575334168,0.00014163534451124612,9.039700726713265e-05,0.00023599440139804252,0.0005088325437249323,0.0003545088891292588,0.002114924413494688
profession,healthcare_occupations,224,0.4045977678571429,0.44352918129326313,0.049107142857142856,0.2165756884501919,0.0009211458712213373,0.0010817683968169021,0.0,0.0,2.455357142857143,10.828784422509594,0.0009211458712213373,0.0010817683968169021,0.00012248237339917978,1.0848978899138867e-05,0.0001891750555062442,7.441438855247502e-05,0.00013557672251148948,1.30390544610255e-05,0.00019734613228398042,4.559663022001257e-05,0.00015532423562295401,2.022113803261246e-05
profession,industrial_occupations,45,0.32269555555555557,0.4471125041233295,0.044444444444444446,0.2084090771399927,0.0006919211863229672,0.00019244917865728666,0.0,0.0,2.2222222222222223,10.420453856999636,0.0006919211863229672,0.00019244917865728666,0.000124387462306509,9.426389658426628e-06,0.00017982666193145432,8.71352376122018e-06,0.00013570895745134394,1.122908066765069e-05,0.00018617439264845517,8.705144105308648e-06,0.0001477869977760646,5.4198921019391194e-06
profession,mental_health_occupations,147,0.4622421768707483,0.5047109574179014,0.07482993197278912,0.26401627632862656,0.001039201325616565,0.0021700372912842355,0.0,0.0,3.741496598639456,13.200813816431328,0.001039201325616565,0.0021700372912842355,0.0001250878262011252,1.6998767807352297e-05,0.00018950392785925595,9.647004689056678e-05,0.0001377240660323977,2.3089910248943882e-05,0.00020157385496327615,7.012882798910662e-05,0.00017474231913647785,0.0002166175153147899
profession,metalworking_occupations,264,0.30679507575757575,0.4131192140686438,0.045454545454545456,0.20869452501236058,0.0007488835897564775,0.0009522957414775107,0.0,0.0,2.272727272727273,10.434726250618029,0.0007488835897564775,0.0009522957414775107,0.0001263085000711285,1.0728475768337687e-05,0.00018539242387994432,2.7612848010196883e-05,0.00013839163159101383,7.987290761812902e-05,0.00018694508038276,3.944616298593394e-05,0.00014991112623123848,2.45150811122456e-05
profession,nursing_specialties,124,0.4934540322580645,0.47869528987939136,0.07258064516129033,0.26049942954462746,0.0010183935636662008,0.0035253622829354257,0.0,0.0,3.6290322580645165,13.024971477231373,0.0010183935636662008,0.0035253622829354257,0.00012954209940348407,2.68428972220113e-05,0.00028331674160830106,0.0011201629194359597,0.00013860159296816545,2.594309927407286e-05,0.00021048659700975423,0.00023746210380310248,0.00015763240099336292,6.518968981177557e-05
profession,professional_driver_types,26,0.1839923076923077,0.4824295321997416,0.07692307692307693,0.271746488194703,0.0012342977771857898,0.0026667170406674285,0.0,0.0,3.8461538461538463,13.58732440973515,0.0012342977771857898,0.0026667170406674285,0.00012510263863637543,2.0619759986965334e-05,0.00019254541873054294,5.832779113669222e-05,0.00017878123729203182,0.0002531378098173311,0.00020833191396937205,0.00011316760996362026,0.00016048619615433452,7.259405973543134e-05
profession,railway_industry_occupations,58,0.39213275862068964,0.44707588209010163,0.06896551724137931,0.25560859370538297,0.008622860318202332,0.06044598186830747,0.0,0.0,3.4482758620689653,12.780429685269148,0.008622860318202332,0.06044598186830747,0.0001311878746993647,4.628971722811583e-05,0.0002874700959213881,0.0008066017524116099,0.0001442944467898683,9.23430986142398e-05,0.0019277859805854327,0.013249930594932265,0.0001911872143331305,0.00032376948688432524
profession,scientific_occupations,348,0.22689597701149425,0.3936331853321313,0.04885057471264368,0.21586592747629701,0.0008315536698350554,0.0011652832271449596,0.0,0.0,2.442528735632184,10.79329637381485,0.0008315536698350554,0.0011652832271449596,0.00012467115006932117,1.0311388325505219e-05,0.00018816031899467786,3.8387033651586905e-05,0.00013270572049679748,1.5223802582357074e-05,0.00019010694337213925,6.275973991091487e-05,0.0001515448404942377,2.7347314254992726e-05
profession,sewing_occupations,350,0.24841857142857143,0.3929218795956799,0.045714285714285714,0.20916378351429663,0.0022538344568705983,0.017860364147680836,0.0,0.0,2.2857142857142856,10.458189175714832,0.0022538344568705983,0.017860364147680836,0.00012428739833662153,4.5606681372943294e-05,0.0002599845930983845,0.0010962669283769491,0.00013292074082918198,3.44524945731214e-05,0.0004419041013794153,0.003276700915880603,0.00021819385633404766,0.000902648569574191
