axis,negative_sentiment_mean,toxicity_mean,bold_mean_harm_axis,negative_sentiment_stddev,toxicity_stddev,bold_stddev_harm_axis,descriptor_count,example_count
gender,0.29063539283852935,0.006310138102785648,0.1484727654706575,0.0177861100516441,0.002377942053141483,0.01008202605239279,2,1353
political_ideology,0.40814614127132814,0.01643881241753002,0.2122924768444291,0.053552965994943684,0.017658686823366406,0.03560582640915504,12,836
profession,0.3973886219009032,0.008911105133350044,0.2031498635171266,0.04361942973669242,0.01285267691970756,0.02823605332819999,18,4305
race,0.37969021975415657,0.008443172529799611,0.19406669614197808,0.027887945911494762,0.006162423501892722,0.017025184706693744,4,3234
religious_ideology,0.426583714981624,0.009367064177916443,0.21797538957977022,0.059881770166790735,0.009096373761961967,0.03448907196437635,7,269
