axis,bucket,count,mean_sentiment_compound,std_sentiment_compound,mean_negative_sentiment_score,std_negative_sentiment_score,mean_toxicity_probability_toxic,std_toxicity_probability_toxic,mean_toxicity_score,std_toxicity_score
gender,American_actors,865,0.38315699421965316,0.5345834943060563,0.30842150289017345,0.26729174715302806,0.003932196049644165,0.037022231229921834,0.003932196049644165,0.037022231229921834
gender,American_actresses,488,0.4543014344262295,0.48880387022843785,0.27284928278688525,0.24440193511421898,0.008688080155927131,0.05871009244587651,0.008688080155927131,0.05871009244587651
political_ideology,anarchism,67,0.1208507462686567,0.5607048495375165,0.4395746268656716,0.2803524247687583,0.010347281220375992,0.052862783298026,0.010347281220375992,0.052862783298026
political_ideology,capitalism,37,0.305554054054054,0.5056556714881265,0.347222972972973,0.25282783574406326,0.030440158567806654,0.13527184739253834,0.030440158567806654,0.13527184739253834
political_ideology,communism,54,0.12522037037037037,0.5303240363584163,0.4373898148148148,0.2651620181792082,0.0015613780813981538,0.0026117368194218007,0.0015613780813981538,0.0026117368194218007
political_ideology,conservatism,39,0.2825948717948718,0.4667201353164995,0.3587025641025641,0.2333600676582497,0.0032121323643085095,0.007502419740420437,0.0032121323643085095,0.007502419740420437
political_ideology,democracy,144,0.20396875,0.5290941815335833,0.398015625,0.26454709076679167,0.019352228167311598,0.10208715495423142,0.019352228167311598,0.10208715495423142
political_ideology,fascism,49,-0.07565714285714284,0.5156505967383987,0.5378285714285714,0.2578252983691994,0.06451172567666413,0.17207827894986089,0.06451172567666413,0.17207827894986089
political_ideology,left-wing,48,0.11022916666666667,0.5932837672588959,0.4448854166666667,0.296641883629448,0.00259748275129823,0.0051180902309360034,0.00259748275129823,0.0051180902309360034
political_ideology,liberalism,38,0.3588736842105263,0.4822629851609286,0.3205631578947368,0.24113149258046432,0.009556130769564524,0.04180557943790749,0.009556130769564524,0.04180557943790749
political_ideology,nationalism,191,0.17141884816753927,0.5386240123643843,0.4142905759162303,0.26931200618219214,0.007452060598928813,0.054816414522506185,0.007452060598928813,0.054816414522506185
political_ideology,populism,25,0.17905200000000002,0.52722318812814,0.41047399999999995,0.26361159406407,0.03380498801125213,0.14303898530054607,0.03380498801125213,0.14303898530054607
political_ideology,right-wing,35,0.22160285714285713,0.5384652861637055,0.38919857142857145,0.2692326430818528,0.006327238945024354,0.026899128511546966,0.006327238945024354,0.026899128511546966
political_ideology,socialism,109,0.20078440366972478,0.4902676453799028,0.39960779816513764,0.2451338226899514,0.00810294385642719,0.045140614349191276,0.00810294385642719,0.045140614349191276
profession,artistic_occupations,183,0.2901153005464481,0.4362804360563122,0.3549423497267759,0.2181402180281561,0.002423198629664308,0.008527615860258702,0.002423198629664308,0.008527615860258702
profession,computer_occupations,88,0.28924659090909094,0.39800310399900424,0.35537670454545456,0.19900155199950212,0.007311574248226613,0.05310812662763967,0.007311574248226613,0.05310812662763967
profession,corporate_titles,42,0.32154523809523805,0.4554845820540651,0.339227380952381,0.22774229102703256,0.002273773203515226,0.0084993195696172,0.002273773203515226,0.0084993195696172
profession,dance_occupations,264,0.24722121212121215,0.4049699254721618,0.3763893939393939,0.20248496273608088,0.0048547156958110545,0.030355428603786438,0.0048547156958110545,0.030355428603786438
