axis,bucket,count,mean_sentiment_compound,std_sentiment_compound,mean_sentiment_score,std_sentiment_score,mean_toxicity_score,std_toxicity_score,mean_toxicity_probability_toxic,std_toxicity_probability_toxic,mean_toxicity_probability_severe_toxic,std_toxicity_probability_severe_toxic,mean_toxicity_probability_obscene,std_toxicity_probability_obscene,mean_toxicity_probability_threat,std_toxicity_probability_threat,mean_toxicity_probability_insult,std_toxicity_probability_insult,mean_toxicity_probability_identity_hate,std_toxicity_probability_identity_hate
gender,American_actors,865,0.4516828901734104,0.4798246440237002,0.7258414450867052,0.23991232201185006,0.001201987938182913,0.004568291260651219,0.001201987938182913,0.004568291260651219,0.00012203860002424504,4.9870656836765454e-05,0.00021084686241589078,0.00017849073957334997,0.00015670219009824237,0.0008177192056878399,0.00021932691186289652,0.0002876074139364478,0.00020029927648313215,0.0010965879952712998
gender,American_actresses,488,0.47793053278688524,0.4853919120097485,0.7389652663934426,0.2426959560048743,0.00293011615707894,0.03480048439077188,0.00293011615707894,0.03480048439077188,0.00014039105659679484,0.0003894815424951599,0.0016334583762697742,0.031149519523933748,0.0001332928875585747,9.896658237700118e-05,0.0005413294099719782,0.00702711406078705,0.00023210755141201948,0.0015125457700241073
political_ideology,anarchism,67,0.16498805970149252,0.47147396712167566,0.5824940298507463,0.23573698356083786,0.002046672800215267,0.008473714198658543,0.002046672800215267,0.008473714198658543,0.00013013620845236774,8.557690406462132e-05,0.0005304370187970101,0.0028851379304588305,0.00013605540424130108,7.942720173000798e-05,0.00029463803616296776,0.0008255932562200006,0.00025696325556326437,0.0004129979702391944
political_ideology,capitalism,37,0.465672972972973,0.5332912695123914,0.7328364864864865,0.26664563475619574,0.0007714391575899679,0.00032148760822965975,0.0007714391575899679,0.00032148760822965975,0.00012274168162745096,9.60524845376499e-06,0.0001744312750225937,9.038773340269293e-06,0.00012817828639920145,9.587834289221632e-06,0.00018670313363907407,1.3869772409689795e-05,0.00016712594731723438,5.6999181314012884e-05
political_ideology,communism,55,0.07870181818181818,0.45103527557326134,0.5393509090909091,0.22551763778663064,0.001052261491052129,0.0008907817515192663,0.001052261491052129,0.0008907817515192663,0.00011691999904790216,1.0209213264280411e-05,0.00017563418051312594,3.0731043169953155e-05,0.00012623500753596256,1.043837889120816e-05,0.00019330796044827862,3.184741130256696e-05,0.00017333630186674946,4.155045135787822e-05
political_ideology,conservatism,39,0.6177564102564103,0.3610432972977296,0.8088782051282052,0.18052164864886477,0.0006531758998066951,7.385776071974462e-05,0.0006531758998066951,7.385776071974462e-05,0.0001245757179836241,6.3140976843607495e-06,0.00017610357444470702,6.548860013617662e-06,0.0001293666944734585,7.014413536656611e-06,0.0001784580153747438,4.782760788637552e-06,0.00015392069718263185,7.84302720424511e-06
political_ideology,democracy,144,0.46521944444444446,0.4381797091620829,0.7326097222222222,0.21908985458104144,0.0007214194758691721,0.0003888103899471783,0.0007214194758691721,0.0003888103899471783,0.00012512767706438253,1.2695606135686607e-05,0.0001802877940362022,1.600013151035267e-05,0.00013124167152353848,1.3545885426416005e-05,0.00018296690177521668,2.416181344421902e-05,0.00016936767567838414,0.0001444677333830543
political_ideology,fascism,49,-0.034261224489795926,0.5677255017525072,0.482869387755102,0.28386275087625357,0.004378420339982805,0.013445720402238804,0.004378420339982805,0.013445720402238804,0.00021183968427215645,0.0005382168599802679,0.0003317257395959744,0.0007064679126516154,0.00021036837011818033,0.000463438003859675,0.0004497373872199001,0.0012115000866867222,0.00364339724955225,0.019450904201007632
political_ideology,left-wing,48,0.20557916666666667,0.6198087481131488,0.6027895833333333,0.3099043740565744,0.0008843166845811842,0.0007570412792576233,0.0008843166845811842,0.0007570412792576233,0.00012023875342492829,1.851270966715e-05,0.00018183969314122805,4.8461728615919954e-05,0.00012298870463685793,1.4409281049227389e-05,0.0001863920488176518,4.1832685647617176e-05,0.00018806329383854367,0.0001978366563562009
political_ideology,liberalism,39,0.6395794871794872,0.3913571549442349,0.8197897435897435,0.19567857747211748,0.0008033147090687775,0.0007331073246675346,0.0008033147090687775,0.0007331073246675346,0.00012085617699761852,6.270847297757471e-06,0.00017724222188684135,3.4005190936397136e-05,0.00012671735263817632,6.739868825162372e-06,0.0001824489956608233,1.6933614511697792e-05,0.0001551812721374564,8.70142363051002e-06
