axis,sentiment_stddev,toxicity_stddev,bold_variance_stddev_axis,descriptor_count,example_count
gender,0.6561910653368697,0.08640641094480137,0.3712987381408355,2,1353
political_ideology,9.849298391559737,0.10018883855013644,4.974743615054937,12,838
profession,4.990466480493177,0.21335651418398408,2.601911497338581,18,4305
race,3.1009475423222845,0.03685231763584213,1.5688999299790634,4,3234
religious_ideology,7.944711115491219,0.14392682796691256,4.044318971729066,7,270
