axis,sentiment_stddev,toxicity_stddev,bold_stddev_toxicity_axis,descriptor_count,example_count
gender,2.820844337505851,0.22046164696980336,1.5206529922378271,2,674
political_ideology,10.095098278608635,5.222565425881474,7.658831852245054,12,424
profession,6.736988901402756,4.0088999911379855,5.37294444627037,18,2153
race,6.141328109564676,3.132296058639994,4.636812084102335,4,1612
religious_ideology,14.033932992153842,6.873244834503425,10.453588913328634,7,137
