axis,bucket,count,mean_sentiment_compound,std_sentiment_compound,mean_sentiment_score,std_sentiment_score,mean_toxicity_probability_toxic,std_toxicity_probability_toxic,mean_toxicity_score,std_toxicity_score
gender,American_actors,431,0.2638542923433875,0.5606913466915541,0.6319271461716937,0.2803456733457771,0.03516429517725526,0.14593002003482264,0.03516429517725526,0.14593002003482264
gender,American_actresses,243,0.3766880658436214,0.5569484133989122,0.6883440329218107,0.2784742066994563,0.039573528116651324,0.16526875743063726,0.039573528116651324,0.16526875743063726
political_ideology,anarchism,34,0.047249999999999986,0.5973983363491459,0.523625,0.2986991681745729,0.07390597415916786,0.19362577578240078,0.07390597415916786,0.19362577578240078
political_ideology,capitalism,19,0.3211263157894737,0.35847039989703355,0.6605631578947369,0.1792351999485168,0.06598165136222776,0.16906743148292844,0.06598165136222776,0.16906743148292844
political_ideology,communism,28,0.039124999999999986,0.5882977002901394,0.5195625,0.2941488501450697,0.12082695874310698,0.2530963050353485,0.12082695874310698,0.2530963050353485
political_ideology,conservatism,20,0.05272,0.6868171790758326,0.52636,0.34340858953791625,0.15569159854494502,0.2668610751738622,0.15569159854494502,0.2668610751738622
political_ideology,democracy,72,0.23853611111111114,0.4858511846308486,0.6192680555555555,0.24292559231542427,0.031052423697676405,0.11524524509642206,0.031052423697676405,0.11524524509642206
political_ideology,fascism,25,-0.261632,0.6301499793170935,0.36918399999999996,0.31507498965854674,0.12047335884068161,0.2366850373598838,0.12047335884068161,0.2366850373598838
political_ideology,left-wing,24,0.004729166666666664,0.5888018862794445,0.5023645833333333,0.29440094313972226,0.04830769333299637,0.1451000470463377,0.04830769333299637,0.1451000470463377
political_ideology,liberalism,20,0.41394000000000003,0.5864674266541287,0.70697,0.2932337133270643,0.001102508875192143,0.0009821996031174065,0.001102508875192143,0.0009821996031174065
political_ideology,nationalism,96,-0.007896875000000003,0.59288677546092,0.4960515625,0.29644338773046003,0.14007307526480872,0.26037326769085667,0.14007307526480872,0.26037326769085667
political_ideology,populism,13,-0.3302230769230769,0.45386525378105735,0.3348884615384616,0.22693262689052868,0.17294984828913584,0.29530791134682005,0.17294984828913584,0.29530791134682005
political_ideology,right-wing,18,0.030022222222222214,0.5547803598834572,0.5150111111111111,0.2773901799417286,0.1517896906201107,0.2707903905477284,0.1517896906201107,0.2707903905477284
political_ideology,socialism,55,0.042574545454545455,0.5823275049693009,0.5212872727272727,0.2911637524846504,0.08557388712334531,0.23138832330979733,0.08557388712334531,0.23138832330979733
profession,artistic_occupations,92,0.1721532608695652,0.5875195982611118,0.5860766304347826,0.2937597991305559,0.06439993183606851,0.1913731971412339,0.06439993183606851,0.1913731971412339
profession,computer_occupations,44,0.29691818181818186,0.5329707419312592,0.6484590909090909,0.2664853709656296,0.06818224661401473,0.1948609682636747,0.06818224661401473,0.1948609682636747
profession,corporate_titles,21,0.4864428571428572,0.4923700991849816,0.7432214285714286,0.2461850495924908,0.031065481859037562,0.1388170039440372,0.031065481859037562,0.1388170039440372
profession,dance_occupations,132,0.11587348484848485,0.5770947226494977,0.5579367424242424,0.28854736132474884,0.07117329619844288,0.17225560431676312,0.07117329619844288,0.17225560431676312
profession,engineering_branches,657,0.12738828006088282,0.504410097533278,0.5636941400304414,0.2522050487666391,0.033969756525099884,0.1366830820769482,0.033969756525099884,0.1366830820769482
profession,entertainer_occupations,94,0.17183404255319149,0.5999019960378101,0.5859170212765957,0.29995099801890507,0.10946340719919077,0.24080878921591783,0.10946340719919077,0.24080878921591783
profession,film_and_television_occupations,52,-0.08097307692307693,0.6054078133270214,0.45951346153846157,0.3027039066635107,0.12013554656788564,0.2528146446003803,0.12013554656788564,0.2528146446003803
profession,healthcare_occupations,112,0.14134196428571427,0.5348269558723067,0.5706709821428572,0.26741347793615333,0.04422835988329358,0.14680903853873575,0.04422835988329358,0.14680903853873575
profession,industrial_occupations,23,0.0013217391304347818,0.6379400220856629,0.5006608695652174,0.31897001104283146,0.16522150555544574,0.2952575463851492,0.16522150555544574,0.2952575463851492
profession,mental_health_occupations,74,0.0227,0.6440084265168101,0.51135,0.3220042132584051,0.14745499898688993,0.28788096390765777,0.14745499898688993,0.28788096390765777
profession,metalworking_occupations,132,0.11223106060606061,0.52105996477418,0.5561155303030303,0.26052998238709,0.05396410025335199,0.16625698554391596,0.05396410025335199,0.16625698554391596
profession,nursing_specialties,62,0.34825,0.4815526291820356,0.674125,0.24077631459101784,0.05407023127754069,0.1959606483602156,0.05407023127754069,0.1959606483602156
profession,professional_driver_types,13,0.02725384615384616,0.5757297219115126,0.513626923076923,0.2878648609557563,0.14381648995018062,0.3320454704145996,0.14381648995018062,0.3320454704145996
profession,railway_industry_occupations,29,0.018748275862068967,0.6131231568317654,0.5093741379310345,0.30656157841588283,0.12550574116577426,0.23848915966972373,0.12550574116577426,0.23848915966972373
profession,scientific_occupations,174,0.058613793103448275,0.5160597053266508,0.5293068965517241,0.25802985266332545,0.04910786253809608,0.16490008886446025,0.04910786253809608,0.16490008886446025
profession,sewing_occupations,175,0.031841714285714286,0.5059038979288193,0.5159208571428572,0.2529519489644096,0.08430460692350088,0.21220428059986127,0.08430460692350088,0.21220428059986127
profession,theatre_personnel,178,0.2040629213483146,0.5651668303032595,0.6020314606741572,0.28258341515162977,0.06875661935257003,0.18961723140183656,0.06875661935257003,0.18961723140183656
profession,writing_occupations,89,0.06401797752808988,0.5350044843826074,0.5320089887640449,0.2675022421913037,0.07317405859181092,0.20733008098890363,0.07317405859181092,0.20733008098890363
race,African_Americans,390,0.1352328205128205,0.6046748247199663,0.5676164102564102,0.3023374123599831,0.04671457959518123,0.16661575472186677,0.04671457959518123,0.16661575472186677
race,Asian_Americans,182,0.2708686813186813,0.6028035283283455,0.6354343406593407,0.30140176416417275,0.049309429385735154,0.1742993607252332,0.049309429385735154,0.1742993607252332
race,European_Americans,1018,0.15602190569744598,0.5743995000394142,0.5780109528487231,0.28719975001970705,0.052149997400289146,0.17314995633054228,0.052149997400289146,0.17314995633054228
